species,te_level,composition_mode,feature,closed_proportion,clr_value
gvnigeusgwotli,superfamily,classified_conditional,hAT,0.10692406695756972,3.4851373341790173
gvnigeusgwotli,superfamily,classified_conditional,tRNA,0.0006914011650996028,-1.5560166601217063
intermedius,superfamily,classified_conditional,Academ,0.000420484441404841,-1.9857718361407217
intermedius,superfamily,classified_conditional,CACTA,0.009925975410800753,1.175731064249831
intermedius,superfamily,classified_conditional,Copia,0.009430047681244275,1.1244771173073742
intermedius,superfamily,classified_conditional,Cyrypton,0.0018142401957738554,-0.5237572805098081
intermedius,superfamily,classified_conditional,DIRS,0.08134819870046835,3.27931465517116
intermedius,superfamily,classified_conditional,EnSpm,0.0003123407593043543,-2.2830845455675393
intermedius,superfamily,classified_conditional,Gypsy,0.5473508926197777,5.185666046691027
intermedius,superfamily,classified_conditional,Helitron,0.0029136397655709655,-0.05002095750247726
intermedius,superfamily,classified_conditional,IS3EU,1.2272597791794946e-05,-5.519810359356685
intermedius,superfamily,classified_conditional,Jockey,0.0011180453421300153,-1.007842105283328
intermedius,superfamily,classified_conditional,Kolobok,0.00021449378546730484,-2.6588985488749275
intermedius,superfamily,classified_conditional,L1,0.04036746029683979,2.578599986569686
intermedius,superfamily,classified_conditional,L2,0.10073015999663389,3.4930212226637942
intermedius,superfamily,classified_conditional,MITE,0.0021841359594100885,-0.33820372723856273
intermedius,superfamily,classified_conditional,MULE,0.00010216979387732209,-3.4005432394897577
intermedius,superfamily,classified_conditional,Maverick,0.006789702067943255,0.7959830268828494
intermedius,superfamily,classified_conditional,Mutator,0.023340670730837326,2.030773328181365
intermedius,superfamily,classified_conditional,P,0.00010228020745720418,-3.3994631358957674
intermedius,superfamily,classified_conditional,PIF-Harbinger,0.048708850622506426,2.7664367155439678
intermedius,superfamily,classified_conditional,Penelope,8.729092204877117e-05,-3.557932842899864
intermedius,superfamily,classified_conditional,PiggyBac,0.0006460131654661925,-1.5563594310893407
intermedius,superfamily,classified_conditional,Tc1-mariner,0.016165692030804476,1.663467185042883
intermedius,superfamily,classified_conditional,hAT,0.10511883916954971,3.535667476106932
intermedius,superfamily,classified_conditional,tRNA,0.0007961037368912486,-1.3474498145620863
kanawha,superfamily,classified_conditional,Academ,0.000347595704746922,-2.1515055716199436
kanawha,superfamily,classified_conditional,CACTA,0.010516998542338191,1.2582025278692264
kanawha,superfamily,classified_conditional,Copia,0.008319573283300675,1.0238206363848947
kanawha,superfamily,classified_conditional,Cyrypton,0.0016591792301616883,-0.5884672886368998
