species,Academ,CACTA,CR1,Chapaev,Copia,Cyrypton,DIRS,Dada,EnSpm,Ginger,Gypsy,Helitron,IS3EU,Jockey,Kolobok,L1,L2,MITE,MULE,Maverick,Merlin,Mutator,P,PIF-Harbinger,Penelope,PiggyBac,Tc1-mariner,hAT,tRNA
campi,0.00031756989867783296,0.010013203618232986,0.0,0.0,0.007235045852599109,0.0015981163709350616,0.07899349925722622,0.0,0.0003375547998726099,0.0,0.5545385050747533,0.0016676470580893974,8.732017276104997e-06,0.0008948345695262967,0.00022325528630458093,0.058704738478957845,0.09456809323672949,0.0020778574268516025,0.00011175934050697598,0.004752236297963474,0.0,0.02614542764098252,5.7858578148498986e-05,0.04826882220696183,5.2905102776456985e-05,0.00044396488342854086,0.013626772176317248,0.09357259775926698,0.0017890030676147594
carolinensis,0.00048751802586386616,0.010041971827577297,0.0,0.0,0.008970189484276954,0.0021825267525293706,0.0793687739578635,0.0,0.00042584957314069713,0.0,0.5388745380030584,0.002351236065812256,1.9652912942373006e-05,0.0010779465843305663,0.0003488825002518921,0.05447149428313458,0.10274054851304762,0.0024626403339960278,0.00016086273186164603,0.0024876306411046227,0.0,0.02358800217178687,7.404511326231001e-05,0.051928777411192666,9.283081358826303e-05,0.0004213598597752091,0.013889610607563472,0.10276457264634035,0.0007685391856993582
catahoula,0.000287756957832734,0.009388997480120374,6.03078629560584e-08,0.0,0.006715322085573806,0.0015417798976947587,0.07242245554003159,0.0,0.000342091662006678,0.0,0.5853656687797978,0.0016367205560843838,1.7770716951050998e-05,0.0007387927640074328,0.00018816053242290198,0.048266666381477474,0.08942579514020958,0.0031549348212853807,0.000149148045963994,0.003961338060365484,0.0,0.028041849604203112,0.00010572236411143499,0.04467524871143606,8.021615860521898e-05,0.0006985473167947569,0.011110513571870442,0.09047564916047071,0.0012087933828197138
cheaha,0.0003254759254542251,0.008710345520422002,1.818009086942368e-07,0.0,0.007326523076274497,0.0017894028384805,0.07995793112030278,1.0164663134733004e-05,0.00047498849467968423,0.0,0.570729588738178,0.0016262315420806088,9.964184050488005e-06,0.0008371110005645363,0.0001975503463186521,0.047335097902914826,0.09113254313045384,0.002268971221805236,0.0002097608922820471,0.0030914360423145563,0.0,0.02495906073900372,6.388060559536303e-05,0.049037139178709235,6.842189267760903e-05,0.0006243105465145252,0.012417198807265507,0.09593700695142175,0.0008597128381926813
conanti,0.00037346936061690404,0.010202316412715046,8.262479856136707e-07,0.0,0.008179483443648794,0.0018152944977707422,0.06876481145876866,0.0,0.0003172251975005131,0.0,0.5491824792093177,0.0020516989373674734,5.5021263386487005e-05,0.001026684941128519,0.00022924098816164904,0.06932038482119093,0.09475608907109836,0.0023727193409263086,0.00017313387415292004,0.0036385035815089434,0.0,0.023928232590183715,7.386419791007502e-05,0.048461227312421265,7.656960000651002e-05,0.0005393159120258951,0.014554890649656878,0.09889214153129348,0.001014375559256721
fuscus,0.00028852802260323404,0.00882837868247781,0.0,0.0,0.007063041852348983,0.0013879312986420022,0.07308673156948033,2.0199717222660004e-06,0.0003943633187848611,0.0,0.5796541116384132,0.0017729553654516944,2.5588802274288005e-05,0.0008691776224415361,0.00017680862360841301,0.055857780524274314,0.09457731546194524,0.0026474559874502404,0.000134965283450505,0.005882203790395888,0.0,0.023978332436659165,6.990723124003402e-05,0.04508205184363412,5.406167528536801e-05,0.0004183910071108301,0.011329242080113263,0.08549102753810617,0.0009276283720863972
gvnigeusgwotli,0.0004731596428153189,0.012835469831842361,0.0,6.288326194524999e-06,0.009240268547905554,0.0019001771178504677,0.08365180505081311,5.720977719738e-06,0.0002577969856926989,2.5017243831659996e-06,0.5403145843835029,0.0037979320941355006,2.2527071793002996e-05,0.0009550348877659369,0.00016657582266629497,0.03826752369779601,0.09647127488551017,0.0030251174706890285,0.00015534309302181698,0.005896303801574033,0.0,0.027649250421826477,8.707772212909299e-05,0.0526214888864668,0.00015654196966310898,0.0006749816685792828,0.013751347406097344,0.10692251537940838,0.0006913911321577309
intermedius,0.00042047880759450603,0.009925842418810213,0.0,1.3398380011835e-05,0.009429921333881913,0.00181421588789428,0.0813471087663889,0.0,0.000312336574444168,0.0,0.5473435590045186,0.002913600727518169,1.2272433358866001e-05,0.001118030362133651,0.000214490911598057,0.040366919438266625,0.1007288103756716,0.002184106695526507,0.000102168424967598,0.006789611096934782,0.0,0.023340358003661146,0.000102278837068117,0.04870819800281585,8.7289752491826e-05,0.000646004509936309,0.016165475436719496,0.10511743074739613,0.000796093070390853
kanawha,0.00034758833977135495,0.010516775704609634,0.0,2.1188338826856994e-05,0.008319397005363051,0.0016591440749099849,0.08136574916899035,0.0,0.00028268742233270993,0.0,0.5645011205238231,0.0025803421070393264,1.6184805843637997e-05,0.0013585548097673498,0.00016836843573511396,0.03627224935185543,0.09507473271858918,0.0023864722074820755,9.134687992086099e-05,0.0064678831924904236,0.0,0.02297755935989606,8.037863257344699e-05,0.048189480444697425,0.00010334047296039797,0.0007639800703852969,0.013349135976539781,0.10222369184160471,0.0008826481139924159
lycos,0.000330576543391991,0.009521115548731692,5.386157089669e-06,0.0,0.007342827755959988,0.0017032079353895598,0.07516589712731714,0.0,0.000443365911653483,0.0,0.5576062771936255,0.0017794251521876389,2.0314936175407e-05,0.000979099611852533,0.000171726381734734,0.0557562698166574,0.09589862319687067,0.002233414603698502,0.000127450880202473,0.003987595518282301,0.0,0.024137972811147723,8.897889381351699e-05,0.049028938546270065,6.1975696084573e-05,0.00046206802885190697,0.014181157836397628,0.09655966832352725,0.002406665593086583
