species,te_level,composition_mode,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23
monticola,superfamily,classified_conditional,-0.2362299334041741,-0.0740455330027466,-0.0739801235515707,-0.6356671170918237,0.0274356790517128,-0.6416878753244312,-0.1501372551680254,-0.1160584719072406,-0.2366566784879814,0.0776035708258066,0.0632430990176748,0.0639388343619477,-0.0144665689603149,-0.0321772600295954,-0.0286900010835216,-0.0165433018621131,0.012492508896027,-0.0054098519597872,0.0434509306279154,0.0239430661994432,-0.0152562417059075,-0.0202473583764816,0.0127044430566205
ocoee,superfamily,classified_conditional,-0.1677719665953427,0.0606278193100482,0.1503250317312466,0.0158682318284557,-0.4337815947689374,0.057756150210013,-0.1768972238523741,0.1106868563750564,0.0313540433612095,-0.037884573572685,0.3067846808038382,0.0372089527768048,-0.1251460011077857,-0.0036880428770501,0.0806221663844244,0.0521603704700108,0.0257572443124731,0.0481849508160277,0.0483370906428732,-0.0143771833743779,0.0083666854946591,0.0289200776398393,0.0154214671007257
orestes,superfamily,classified_conditional,0.2747125189595711,-0.3364475875358406,0.3331832264406825,-0.2140167387495493,-0.4798460782102461,-0.1479091924738785,0.2989540959903861,-0.1798434212247013,-0.2671753124263907,-0.0114230107513978,-0.0823695412565029,-0.162658150002777,-0.1646391614722223,0.1457138335660232,-0.0615040401979847,-0.0052172667656047,0.0025604081223058,-0.0140045028681764,-0.0420276921491371,0.005703618294632,0.0144206421967463,0.0219656138896725,-0.000604208083752
organi,superfamily,classified_conditional,-1.3391794671241628,-0.0752811753739413,-0.8617149018684879,0.0394828560469738,-0.3642141220507143,0.5491166692393585,-0.5195083273652416,-0.0500848002352058,-0.040006812446698,0.0208060299205275,-0.2276499341675505,-0.0052319050537411,-0.0085139609001886,0.0181196867505265,-0.0679417250913836,0.006119014556879,0.0007169801450818,0.0197663231951574,0.0344292409422415,-0.013390429350889,-0.0158391129247139,0.0098303293054012,-0.0005984394939714
pascagoula,superfamily,classified_conditional,-0.0846348819408501,0.7562293531594236,-0.035571460561604,0.2072356208267325,0.0137222578817958,-0.5720932113905227,-0.1862331045057435,0.0034130463899517,0.2526140943548482,-0.0860644279233137,0.1237620762143143,-0.1264087321733347,0.0791667242242709,0.0220853915921438,-0.0670397029574358,-0.1141101881139161,-0.0271561312054249,-0.027698606721207,-0.0054385613035704,0.0081867305943829,-0.0074284449484671,-0.0020846003492397,0.0233723831811861
perlapsus,superfamily,classified_conditional,0.2031396686370135,0.1792152668106217,-0.3161056446596866,0.0576844690893141,-0.2461476431685936,-0.0576730170625693,-0.123601170331171,0.0629264837496889,-0.4119173265189291,-0.1450763476914122,0.0661141706780351,0.0131265253735299,0.061411377953072,-0.0819342241762682,0.0856828129787554,0.0298606556853237,-0.0395007746780897,-0.021353645681263,-0.0534979517665614,0.0474346704116785,-0.0049263900254928,0.0222672687820956,0.0133067845174187
santeetlah,superfamily,classified_conditional,0.0822570776743079,-0.3025516630043759,0.1133085396784142,0.0773756057243892,-0.3292353100393711,-0.1999055062481359,0.1193469775277381,0.0032789764825411,0.0067014013014281,0.4892085159045225,0.0820269409764684,-0.0968464888061297,0.1055338822934096,-0.0994370199166826,0.0243771204017178,-0.0234113371555299,-0.0237584792294897,0.0402140022837763,0.02690443477792,0.0364441230535698,0.0035831753179977,0.030356076921043,-0.0150044001890213
tilleyi,superfamily,classified_conditional,0.0551670909153749,-0.4860921163676541,0.1186203673660883,-0.3772076762811445,-0.563210204994885,0.0376020781929542,-0.1511780917872479,0.1446904530391979,0.0212923594230425,-0.1406681915192515,-0.0970188925118713,0.003638739950741,0.1008830875048824,0.0547912931365433,0.070316265708812,-0.057848382005097,-0.0500499507287038,0.0293706581572957,-0.0298441868549455,-0.011322738575391,0.0028030202910148,-0.0180908807580675,-0.0038471289491952
valentinei,superfamily,classified_conditional,0.2234660058093351,0.3014591016861191,-0.1668442008139596,0.6368559518375029,-0.2585367898159055,-0.4754213679115069,-0.2130361923948668,-0.1362228183893233,0.2649414287378147,0.0855256353370728,0.0349688490513218,-0.0092547421292056,0.1012283568815511,0.1632949311635184,0.0185513954074175,0.0383774018088582,0.0243358038422204,-0.0110456138537522,-0.0156513783606099,-0.0090364926131482,-0.0435207736394029,0.0131117330468827,-0.0123365074515831
valtos,superfamily,classified_conditional,0.0480389825584856,0.7115496208111582,-0.1640854526665004,0.2573225552958343,0.2363829639938535,-0.4307441173089037,0.1279887479742562,0.1176892935228659,-0.1009234259723004,-0.0434400624887838,-0.1256557347054822,-0.0509472789950318,0.1043868344877218,-0.0642836825419676,-0.1060874040643612,0.0192987229352005,0.0339455021159333,0.0135710472956404,0.0082028527505964,-0.0716851988913016,0.0499020094783729,0.0241292310895389,-0.002827475254155
