analysis_type,replicate_id,tree_id,evolutionary_model,generating_class,residual_regime,n_species,rank,model,k,q,C,p,CICc,delta_CICc,l,w,globally_supported,delta_competitive,admissible_competitive,stored_warning_count,runtime_warning_count,path_trait_definition
measurement_bootstrap,measurement_0005,focal_primary,lambda,,,24,2,iod_bridge,1,5,5.60597568034846,0.0606286430384376,18.939309013681797,5.028924204573157,0.0809064198825709,0.0728141432905964,True,False,False,5,1,relative_nuclear_iod_index; not_absolute_genome_size
measurement_bootstrap,measurement_0005,focal_primary,lambda,,,24,3,cell_collider,1,5,8.39521812762515,0.0150314731836055,21.72855146095848,7.818166651849845,0.0200588800919621,0.0180525868204886,False,False,False,5,1,relative_nuclear_iod_index; not_absolute_genome_size
measurement_bootstrap,measurement_0005,focal_primary,lambda,,,24,4,iod_cell_only,2,4,14.00119380797361,0.0072912465571046,24.106456965868347,10.19607215675971,0.0061087318631485,0.0054977352582492,False,False,False,5,1,relative_nuclear_iod_index; not_absolute_genome_size
measurement_bootstrap,measurement_0005,focal_primary,lambda,,,24,5,iod_collider,1,5,12.32101425096346,0.0021111823658395,25.654347584296797,11.743962775188155,0.0028172856653084,0.0025355001793683,False,False,False,5,1,relative_nuclear_iod_index; not_absolute_genome_size
measurement_bootstrap,measurement_0005,focal_primary,lambda,,,24,6,nucleus_bridge,1,5,14.183287660895694,0.0008320285270194683,27.516620994229022,13.60623618512039,0.0011103077025596,0.0009992545000528951,False,False,False,5,1,relative_nuclear_iod_index; not_absolute_genome_size
measurement_bootstrap,measurement_0005,focal_primary,lambda,,,24,7,nucleus_cell_only,2,4,22.578505788520843,0.00015369694834188596,32.68376894641558,18.773384137306948,8.38323096037299e-05,7.54473849260337e-05,False,False,False,5,1,relative_nuclear_iod_index; not_absolute_genome_size
measurement_bootstrap,measurement_0005,focal_primary,lambda,,,24,8,nucleus_collider,1,5,20.893036719511905,2.9049236428213557e-05,34.22637005284524,20.31598524373661,3.876500614134752e-05,3.488772233320623e-05,False,False,False,5,1,relative_nuclear_iod_index; not_absolute_genome_size
measurement_bootstrap,measurement_0005,focal_primary,lambda,,,24,9,iod_nucleus_only,2,4,26.49901239986037,2.509645526116433e-05,36.6042755577551,22.693890748646467,1.180549597510623e-05,1.0624707863672556e-05,False,False,False,5,1,relative_nuclear_iod_index; not_absolute_genome_size
measurement_bootstrap,measurement_0005,focal_primary,lambda,,,24,10,independent,3,3,41.60926909810051,2.1960495788508894e-07,48.80926909810052,34.89888428899188,2.64121384023631e-08,2.3770390940942232e-08,False,False,False,5,1,relative_nuclear_iod_index; not_absolute_genome_size
measurement_bootstrap,measurement_0006,focal_primary,lambda,,,24,1,cell_bridge,1,5,0.4038052600093658,0.8171744923450739,13.737138593342696,0.0,1.0,0.843326233675666,True,True,True,1,0,relative_nuclear_iod_index; not_absolute_genome_size
