analysis_type,replicate_id,tree_id,evolutionary_model,generating_class,residual_regime,n_species,rank,model,k,q,C,p,CICc,delta_CICc,l,w,globally_supported,delta_competitive,admissible_competitive,stored_warning_count,runtime_warning_count,path_trait_definition
leave_one_species_out,auriculatus,focal_primary_minus_one,lambda,,,23,9,iod_nucleus_only,2,4,23.539843442809648,9.875888522570264e-05,33.76206566503187,20.140079668555856,4.232892775884868e-05,3.706671468491913e-05,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
leave_one_species_out,auriculatus,focal_primary_minus_one,lambda,,,23,10,independent,3,3,33.57763081875663,8.116044837747083e-06,40.840788713493474,27.21880271701746,1.2288873905025993e-06,1.0761155714399697e-06,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
leave_one_species_out,bairdi,focal_primary_minus_one,lambda,,,23,1,cell_bridge,1,5,0.1988959342070171,0.9053370559522864,13.728307698912902,0.0,1.0,0.9107742138572208,True,True,True,6,1,relative_nuclear_iod_index; not_absolute_genome_size
leave_one_species_out,bairdi,focal_primary_minus_one,lambda,,,23,2,cell_collider,1,5,6.490789257752692,0.0389531892704463,20.020201022458576,6.291893323545674,0.0430261735276847,0.0391871293699614,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
leave_one_species_out,bairdi,focal_primary_minus_one,lambda,,,23,3,iod_bridge,1,5,6.615893636791945,0.0365912251106084,20.14530540149783,6.416997702584927,0.0404172400433998,0.036810980026806,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
leave_one_species_out,bairdi,focal_primary_minus_one,lambda,,,23,4,iod_cell_only,2,4,13.106682894544637,0.0107661168410375,23.328905116766855,9.600597417853956,0.008227289117231,0.0074932027779222,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
leave_one_species_out,bairdi,focal_primary_minus_one,lambda,,,23,5,iod_collider,1,5,11.659448538747478,0.0029388872097266,25.18886030345336,11.460552604540458,0.0032461801827336,0.0029565372039681,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
leave_one_species_out,bairdi,focal_primary_minus_one,lambda,,,23,6,nucleus_bridge,1,5,12.30418373827981,0.0021290234700782,25.83359550298569,12.105287804072791,0.0023516362840564,0.0021418096878896,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
leave_one_species_out,bairdi,focal_primary_minus_one,lambda,,,23,7,nucleus_cell_only,2,4,18.794972996032502,0.0008622869932027877,29.017195218254724,15.288887519341822,0.0004786965064098368,0.0004359844343016172,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
leave_one_species_out,bairdi,focal_primary_minus_one,lambda,,,23,8,nucleus_collider,1,5,17.399290431987414,0.00016664492345452864,30.928702196693298,17.200394497780394,0.00018406948258537745,0.00016764573829680253,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
leave_one_species_out,bairdi,focal_primary_minus_one,lambda,,,23,9,iod_nucleus_only,2,4,24.01518406877936,7.931693906593207e-05,34.23740629100158,20.50909859208868,3.5197014438539606e-05,3.205653315538216e-05,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
leave_one_species_out,bairdi,focal_primary_minus_one,lambda,,,23,10,independent,3,3,35.54952822848758,3.3718429347517898e-06,42.81268612322442,29.084378424311524,4.835122374902088e-07,4.403704779904908e-07,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
leave_one_species_out,brimleyorum,focal_primary_minus_one,lambda,,,23,1,cell_bridge,1,5,0.2625217297259975,0.8769889689414556,13.791933494431882,0.0,1.0,0.9133192291406615,True,True,True,6,1,relative_nuclear_iod_index; not_absolute_genome_size
leave_one_species_out,brimleyorum,focal_primary_minus_one,lambda,,,23,2,cell_collider,1,5,6.102330829795248,0.0473037637438833,19.631742594501134,5.839809100069251,0.0539388355146358,0.0492633756729721,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
leave_one_species_out,brimleyorum,focal_primary_minus_one,lambda,,,23,3,iod_bridge,1,5,7.310497851990514,0.0258550606853421,20.8399096166964,7.047976122264517,0.029481625882421,0.0269261358247461,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
leave_one_species_out,brimleyorum,focal_primary_minus_one,lambda,,,23,4,iod_cell_only,2,4,13.41282868178576,0.0094252659595487,23.635050904007983,9.8431174095761,0.0072877625188243,0.0066560536458528,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
leave_one_species_out,brimleyorum,focal_primary_minus_one,lambda,,,23,5,iod_collider,1,5,11.975063330540053,0.0025098515644159,25.504475095245937,11.712541600814054,0.0028618963901511,0.0026138250049333,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
