analysis_type,replicate_id,tree_id,evolutionary_model,generating_class,residual_regime,n_species,rank,model,k,q,C,p,CICc,delta_CICc,l,w,globally_supported,delta_competitive,admissible_competitive,stored_warning_count,runtime_warning_count,path_trait_definition
published_bootstrap_tree_sensitivity,published_bootstrap_003,published_bootstrap_003,lambda,,,18,8,iod_nucleus_only,2,4,14.566601721106558,0.0056899187126848,25.643524798029635,8.797084262763505,0.0122952517049831,0.0053308149291836,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
published_bootstrap_tree_sensitivity,published_bootstrap_003,published_bootstrap_003,lambda,,,18,9,iod_collider,1,5,11.957231529739175,0.0025323292062906,26.957231529739172,10.110790994473046,0.0063748450301032,0.0027639221931449,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
published_bootstrap_tree_sensitivity,published_bootstrap_003,published_bootstrap_003,lambda,,,18,10,independent,3,3,24.465902841528944,0.0004286010159645359,32.18018855581466,15.33374802054853,0.0004680787484540633,0.00020294348096031216,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
published_bootstrap_tree_sensitivity,published_bootstrap_004,published_bootstrap_004,lambda,,,18,1,cell_bridge,1,5,1.8464405325149904,0.3972377677913623,16.84644053251499,0.0,1.0,0.4335669628201974,True,True,True,6,1,relative_nuclear_iod_index; not_absolute_genome_size
published_bootstrap_tree_sensitivity,published_bootstrap_004,published_bootstrap_004,lambda,,,18,2,nucleus_bridge,1,5,2.4389631506356104,0.2953832612099756,17.43896315063561,0.592522618120622,0.7435930950178854,0.3223973997809751,True,True,True,6,1,relative_nuclear_iod_index; not_absolute_genome_size
published_bootstrap_tree_sensitivity,published_bootstrap_004,published_bootstrap_004,lambda,,,18,3,nucleus_cell_only,2,4,8.453626253648464,0.0763054145502004,19.53054933057154,2.684108798056549,0.2613082852821041,0.1132946396095156,True,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
published_bootstrap_tree_sensitivity,published_bootstrap_004,published_bootstrap_004,lambda,,,18,4,cell_collider,1,5,6.014663103012854,0.0494233867161907,21.01466310301285,4.168222570497864,0.1244176428414252,0.0539433795280048,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
published_bootstrap_tree_sensitivity,published_bootstrap_004,published_bootstrap_004,lambda,,,18,5,nucleus_collider,1,5,6.494008217873543,0.0388905453146473,21.494008217873542,4.647567685358553,0.0979024364447476,0.0424472620220466,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
published_bootstrap_tree_sensitivity,published_bootstrap_004,published_bootstrap_004,lambda,,,18,6,iod_bridge,1,5,8.072593520729194,0.0176627608877709,23.072593520729196,6.226152988214203,0.0444639516176313,0.0192781004578406,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
published_bootstrap_tree_sensitivity,published_bootstrap_004,published_bootstrap_004,lambda,,,18,7,iod_cell_only,2,4,14.087256623742048,0.007021713180537,25.164179700665123,8.317739168150133,0.0156252109277456,0.0067745752453676,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
