bootstrap_replicate,species,tree_tip,nucleus_area_um2,cell_area_um2,relative_iod_index
129,D. perlapsus,perlapsus,43.38,289.4832,0.8928536748166259
129,D. tilleyi,tilleyi,41.6952,263.2464,1.0318095354523227
129,D. valtos,valtos,49.9536,312.2928,1.4561598129584352
129,D. welteri,welteri,48.6864,307.8144,0.9171796577017115
129,D. wrighti,wrighti,42.9696,225.6984,0.9691644272616138
130,D. aeneus,aeneus,36.072,209.4768,0.5776449547677261
130,D. amphileucus,amphileucus,44.4312,316.2816,1.0637978557457213
130,D. anicetus,anicetus,41.184,243.8784,0.970016424205379
130,D. apalachicolae,apalachicolae,46.5264,293.8752,1.0504164694376528
130,D. auriculatus,auriculatus,48.4488,316.8864,1.0290193355745723
130,D. bairdi,bairdi,44.208,306.6048,1.1963142976772618
130,D. brimleyorum,brimleyorum,45.2304,329.0112,1.0916439737163814
130,D. campi,campi,37.512,252.9864,0.9479892298288509
130,D. folkertsi,folkertsi,43.8336,268.3368,1.098990587408313
130,D. fuscus,fuscus,45.3096,275.0112,1.0
130,D. gvnigeusgwotli,gvnigeusgwotli,46.7136,272.0808,0.9958226136919315
130,D. intermedius,intermedius,48.9384,327.3768,1.1956414975550123
130,D. kanawha,kanawha,40.9968,286.9704,1.285895981662592
130,D. marmoratus,marmoratus,48.2904,276.5664,1.1576071155256724
130,D. mavrokoilius,mavrokoilius,43.3872,271.908,0.8790526662591688
130,D. monticola,monticola,39.6288,263.3616,1.1544424914425429
130,D. ochrophaeus,ochrophaeus,50.472,269.9784,0.8432367817848411
130,D. ocoee,ocoee,44.2512,291.96,1.0732078319070906
130,D. orestes,orestes,45.8928,256.1328,0.8985487353300734
130,D. perlapsus,perlapsus,43.2216,291.7944,0.9467025171149145
130,D. tilleyi,tilleyi,41.472,263.9232,1.0497720874083132
130,D. valtos,valtos,50.8536,314.5968,1.4732873673594131
130,D. welteri,welteri,48.8664,308.16,1.0133204828850857
130,D. wrighti,wrighti,44.892,247.6224,1.0464291723716381
131,D. aeneus,aeneus,37.6704,216.5184,0.5742863031784841
131,D. amphileucus,amphileucus,45.1872,318.78,1.0025073514669927
131,D. anicetus,anicetus,42.1344,246.0672,0.9221203899755501
131,D. apalachicolae,apalachicolae,46.368,300.6144,0.9787336356968216
131,D. auriculatus,auriculatus,49.9536,316.8864,1.0552915971882642
131,D. bairdi,bairdi,44.316,307.008,1.114461849633252
131,D. brimleyorum,brimleyorum,46.2528,325.1448,1.017101306234719
131,D. campi,campi,36.6624,257.256,0.8926883600244498
131,D. folkertsi,folkertsi,44.7408,268.7328,1.0408826381418093
131,D. fuscus,fuscus,47.6424,272.556,1.0
131,D. gvnigeusgwotli,gvnigeusgwotli,46.5048,273.3408,0.9197063111246944
131,D. intermedius,intermedius,47.592,325.0008,1.0537791020782397
131,D. kanawha,kanawha,41.76,288.756,1.023671839853301
131,D. marmoratus,marmoratus,48.2544,274.9824,1.0688156259168704
131,D. mavrokoilius,mavrokoilius,42.3504,269.5824,0.8239482035452323
131,D. monticola,monticola,39.6216,262.2096,0.992070196210269
131,D. ochrophaeus,ochrophaeus,53.6112,277.0272,0.7874008899755501
131,D. ocoee,ocoee,43.9704,292.5216,1.0108954070904645
131,D. orestes,orestes,46.8576,255.5856,0.7839696943765282
131,D. perlapsus,perlapsus,42.3,291.8592,0.9048878618581908
131,D. tilleyi,tilleyi,41.8104,265.0896,0.9708568196821515
131,D. valtos,valtos,50.7816,316.9368,1.3808416363080684
131,D. welteri,welteri,48.8664,303.3216,0.8291966827628362
131,D. wrighti,wrighti,41.2848,215.1072,0.9022376803178485
132,D. aeneus,aeneus,38.4768,208.0512,0.5835583429095355
132,D. amphileucus,amphileucus,44.1288,318.78,1.0862939981662592
132,D. anicetus,anicetus,40.5,244.2528,0.9546278074572128
132,D. apalachicolae,apalachicolae,46.3968,294.3072,0.9225046436430318
132,D. auriculatus,auriculatus,49.9032,312.0048,0.9830281051344744
132,D. bairdi,bairdi,45.0072,305.1936,1.1381023814180928
132,D. brimleyorum,brimleyorum,45.6768,330.6168,1.0811539193154036
132,D. campi,campi,35.8128,257.4504,0.93047958801956
132,D. folkertsi,folkertsi,44.6184,268.7328,1.0395297218826407
132,D. fuscus,fuscus,46.2888,272.808,1.0
132,D. gvnigeusgwotli,gvnigeusgwotli,47.016,272.304,0.9210597298288509
132,D. intermedius,intermedius,49.14,324.2592,1.126843479828851
132,D. kanawha,kanawha,41.0976,288.6408,1.0084212866748168
132,D. marmoratus,marmoratus,47.1024,276.3432,1.0882993496332518
132,D. mavrokoilius,mavrokoilius,40.9968,267.7968,0.9423634290953545
132,D. monticola,monticola,39.6432,257.1696,1.0644328001222494
132,D. ochrophaeus,ochrophaeus,50.2632,271.1088,0.851490359413203
132,D. ocoee,ocoee,42.8256,292.2696,1.010962118581907
132,D. orestes,orestes,46.0512,255.3552,0.9800496375305624
132,D. perlapsus,perlapsus,44.028,289.476,0.8921845617359413
132,D. tilleyi,tilleyi,43.0272,263.9232,1.0413761772616137
132,D. valtos,valtos,49.9824,311.7528,1.407879901589242
132,D. welteri,welteri,48.636,305.9424,0.926171130806846
132,D. wrighti,wrighti,45.936,247.5216,0.9144471913202934
133,D. aeneus,aeneus,36.0576,206.1,0.5789652145476772
133,D. amphileucus,amphileucus,43.956,319.0968,1.0555390134474327
133,D. anicetus,anicetus,41.1552,242.5032,0.8792799339853301
133,D. apalachicolae,apalachicolae,45.8712,297.8928,0.9232718410757946
133,D. auriculatus,auriculatus,48.2976,312.408,0.9427827665036674
133,D. bairdi,bairdi,44.7624,307.008,1.0669396693154034
133,D. brimleyorum,brimleyorum,44.9136,328.6224,1.0212104871638144
133,D. campi,campi,37.4976,258.1632,0.8342641815403423
133,D. folkertsi,folkertsi,43.9848,266.184,0.9678868875305624
133,D. fuscus,fuscus,47.5776,273.924,1.0
133,D. gvnigeusgwotli,gvnigeusgwotli,46.7712,271.656,0.8769780097799511
133,D. intermedius,intermedius,48.7584,325.9152,1.0304825391198045
133,D. kanawha,kanawha,41.7456,288.6192,0.8837207603911981
133,D. marmoratus,marmoratus,48.3768,274.2192,1.0650985605134475
133,D. mavrokoilius,mavrokoilius,41.328,268.1424,0.8125250702933986
133,D. monticola,monticola,39.4848,260.1288,0.9880713698044009
133,D. ochrophaeus,ochrophaeus,50.6448,273.0168,0.7445058545232274
133,D. ocoee,ocoee,42.2352,292.4496,0.9304058154034229
133,D. orestes,orestes,47.2032,255.7224,0.8887823820293398
133,D. perlapsus,perlapsus,41.7168,292.3848,0.8858068184596577
133,D. tilleyi,tilleyi,41.9328,263.124,0.9257547212713937
133,D. valtos,valtos,50.7744,317.916,1.296767413202934
133,D. welteri,welteri,48.384,313.092,0.8493108013447433
133,D. wrighti,wrighti,45.936,249.2064,0.8574841900977995
134,D. aeneus,aeneus,36.8352,206.5968,0.5338892542787286
134,D. amphileucus,amphileucus,44.1648,318.6216,0.9840744755501224
134,D. anicetus,anicetus,41.9832,244.296,0.9109509358190709
134,D. apalachicolae,apalachicolae,44.3016,300.312,0.9507479645476773
134,D. auriculatus,auriculatus,50.0256,316.656,0.9750028502444988
134,D. bairdi,bairdi,45.0288,306.972,1.1256979132029339
134,D. brimleyorum,brimleyorum,43.92,330.6528,1.048506946210269
134,D. campi,campi,37.4544,258.5952,0.8611087053789732
134,D. folkertsi,folkertsi,44.5968,268.8408,1.0010482383863082
134,D. fuscus,fuscus,46.2888,270.9144,1.0
134,D. gvnigeusgwotli,gvnigeusgwotli,47.1384,271.5552,0.9069491815403423
134,D. intermedius,intermedius,49.6728,325.9152,1.0783135446210268
134,D. kanawha,kanawha,41.04,288.6552,1.0050345
134,D. marmoratus,marmoratus,46.4112,275.0256,1.0520406931540343
