bootstrap_replicate,species,tree_tip,genome_size_pg,nucleus_area_um2,cell_area_um2
139,D. intermedius,intermedius,16.50248559,48.67200000,324.18720000
139,D. kanawha,kanawha,16.65046122,41.34960000,288.56880000
139,D. marmoratus,marmoratus,15.95403113,47.20320000,273.70080000
139,D. mavrokoilius,mavrokoilius,13.98928434,43.70400000,271.44000000
139,D. monticola,monticola,15.13817054,39.71520000,263.36160000
139,D. ochrophaeus,ochrophaeus,12.20813557,50.40720000,271.03680000
139,D. ocoee,ocoee,14.97748751,42.82560000,290.96640000
139,D. orestes,orestes,12.41499561,46.02240000,255.34080000
139,D. perlapsus,perlapsus,11.92621107,41.71680000,288.91440000
139,D. tilleyi,tilleyi,15.04714736,41.61600000,262.81440000
139,D. valtos,valtos,20.05072323,49.57920000,319.50720000
139,D. welteri,welteri,13.44504426,48.63600000,303.98400000
139,D. wrighti,wrighti,13.55819432,43.20720000,203.67360000
140,D. aeneus,aeneus,7.96618819,38.25360000,210.94560000
140,D. amphileucus,amphileucus,14.84027113,45.13680000,316.49040000
140,D. anicetus,anicetus,13.59234436,41.73120000,246.06720000
140,D. apalachicolae,apalachicolae,13.14739013,46.23840000,299.54880000
140,D. auriculatus,auriculatus,16.80490054,49.17600000,317.14560000
140,D. bairdi,bairdi,16.03748719,44.00640000,307.00800000
140,D. brimleyorum,brimleyorum,14.05619780,46.47600000,329.01120000
140,D. campi,campi,12.71739168,36.33840000,258.81120000
140,D. folkertsi,folkertsi,14.68862926,44.57520000,268.73280000
140,D. fuscus,fuscus,16.36000000,47.99520000,273.14640000
140,D. gvnigeusgwotli,gvnigeusgwotli,13.75654749,47.25360000,271.85760000
140,D. intermedius,intermedius,16.15962203,48.51360000,323.59680000
140,D. kanawha,kanawha,15.28426920,41.72400000,287.76960000
140,D. marmoratus,marmoratus,15.07140316,46.40400000,274.90320000
140,D. mavrokoilius,mavrokoilius,12.54205732,45.56880000,271.44000000
140,D. monticola,monticola,16.19551201,39.31200000,260.07840000
140,D. ochrophaeus,ochrophaeus,11.65294084,52.46640000,274.50000000
140,D. ocoee,ocoee,15.04382215,43.14240000,293.38560000
140,D. orestes,orestes,11.41670803,46.82880000,255.08160000
140,D. perlapsus,perlapsus,12.92139803,44.76960000,291.85920000
140,D. tilleyi,tilleyi,14.48748760,42.03360000,266.52960000
140,D. valtos,valtos,20.30002034,49.15440000,311.75280000
140,D. welteri,welteri,13.80149616,48.94560000,311.18400000
140,D. wrighti,wrighti,12.46226465,44.89200000,249.30720000
141,D. aeneus,aeneus,9.99706533,37.62000000,212.43600000
141,D. amphileucus,amphileucus,18.80939229,44.53920000,318.85920000
141,D. anicetus,anicetus,16.38655036,41.15520000,244.25280000
141,D. apalachicolae,apalachicolae,17.37021902,46.38240000,297.11520000
141,D. auriculatus,auriculatus,17.92333819,49.36320000,314.66880000
141,D. bairdi,bairdi,20.26057050,44.89920000,305.52480000
141,D. brimleyorum,brimleyorum,19.69998193,46.84320000,326.66400000
141,D. campi,campi,15.55732219,36.66240000,258.29280000
141,D. folkertsi,folkertsi,18.51151899,43.61040000,267.01920000
141,D. fuscus,fuscus,16.36000000,47.64240000,273.52800000
141,D. gvnigeusgwotli,gvnigeusgwotli,15.87707721,47.00160000,272.53440000
141,D. intermedius,intermedius,18.68449335,48.83040000,324.84960000
141,D. kanawha,kanawha,18.74544418,41.86800000,287.19360000
141,D. marmoratus,marmoratus,19.67785348,47.95200000,276.12000000
141,D. mavrokoilius,mavrokoilius,14.92403915,42.75360000,269.02080000
141,D. monticola,monticola,19.22539990,39.60720000,260.12880000
141,D. ochrophaeus,ochrophaeus,14.78835087,52.46640000,268.07040000
141,D. ocoee,ocoee,18.39551633,44.17920000,294.53040000
141,D. orestes,orestes,17.34025546,47.27520000,256.40640000
141,D. perlapsus,perlapsus,14.18250528,42.58080000,289.37520000
141,D. tilleyi,tilleyi,17.85665632,41.83200000,266.84640000
141,D. valtos,valtos,24.68139762,50.07600000,314.59680000
141,D. welteri,welteri,16.11226683,48.89520000,304.67520000
141,D. wrighti,wrighti,17.10159188,43.84800000,237.03120000
142,D. aeneus,aeneus,10.78811710,42.51600000,207.93600000
142,D. amphileucus,amphileucus,19.52223083,44.43120000,316.49040000
142,D. anicetus,anicetus,17.64444079,41.91120000,243.61920000
142,D. apalachicolae,apalachicolae,17.78982218,44.57520000,299.64960000
142,D. auriculatus,auriculatus,19.87391491,48.78000000,313.11360000
142,D. bairdi,bairdi,21.58874286,43.86960000,305.03520000
142,D. brimleyorum,brimleyorum,19.09242167,45.08640000,330.37920000
142,D. campi,campi,16.74463309,37.07280000,256.21200000
142,D. folkertsi,folkertsi,19.69017833,47.23920000,271.00800000
142,D. fuscus,fuscus,16.36000000,47.70720000,273.83760000
142,D. gvnigeusgwotli,gvnigeusgwotli,17.27692152,45.82080000,275.11920000
142,D. intermedius,intermedius,18.93066967,49.27680000,325.25280000
142,D. kanawha,kanawha,17.51781827,40.68000000,288.67680000
142,D. marmoratus,marmoratus,19.95591808,48.34080000,276.12000000
142,D. mavrokoilius,mavrokoilius,17.99305542,39.88800000,269.61120000
142,D. monticola,monticola,18.79792463,39.58560000,264.94560000
142,D. ochrophaeus,ochrophaeus,14.69511616,50.40720000,269.35200000
142,D. ocoee,ocoee,19.54628794,43.74720000,295.97040000
142,D. orestes,orestes,15.58511447,46.59120000,254.85840000
