species,te_level,composition_mode,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28
bairdi,superfamily,classified_conditional,1.9456905414256906,-0.8691910552244496,-1.1571835248095859,-0.16434136291111315,-0.16104796327510548,-0.13099682671600038,1.1947835206876969,-0.06488399665943519,0.3849300001031827,0.48760615569103466,0.017181421848058008,-0.019633127709737644,-0.0497683426315565,-0.08408845654962498,-0.10692854086149506,-0.1274500870432334,0.0005618875944732781,-0.04330524126736504,-0.013001914343349638,-0.016131509028739718,0.020098290873765665,0.0397434972630883,0.018539822179420625,0.04392075448711471,-0.0004369753908306362,0.0122406888645622,0.008259454769636642,-0.0014040883843920967
balsameus,superfamily,classified_conditional,-2.466097724712454,2.9747741533036316,1.553298536897114,-0.621032954109068,-0.16650225158846824,0.17372769069487945,-0.46891719091030876,-0.38491886829951155,0.20039083717042586,-0.026395025751684318,0.21768624873984452,0.3397786913843429,-0.2076695026724427,0.3300893339032184,-0.17886852586722762,0.024891261482432345,-0.006692196664897395,0.08182291590057529,0.010040462624177328,0.03188359105251993,0.06535374929872348,0.03242434880812758,0.027266897449278724,0.019590402990981432,0.00856679369460289,-0.013867375048753943,-0.008641400915920494,0.01588413727322268
campi,superfamily,classified_conditional,-1.1616002784902117,-1.5186917387806902,-1.3029640786790397,-0.4626709878311162,-0.2619156267321934,0.2714514523995274,0.2760374467588858,0.4423274519118564,-0.7797488668421859,0.3061690446732133,-0.16433345864470936,-0.05509596471240864,0.06286090439264379,0.11941082584840143,-0.053372598615545684,0.003025473829458305,0.1198395590829607,0.024044667818636335,-0.09208430304245273,0.012715769308303735,0.02956993836830306,-0.02029675014141187,-0.01714944740001685,-0.01667937548437443,-0.006527406515093772,-0.02492847181485073,-0.014194145951061946,0.00931674557700933
carolinensis,superfamily,classified_conditional,-1.2407111529853234,-1.6097911379039853,-1.3369074158064485,-0.48938071115338033,-0.10600728770792948,0.33008274447304187,-0.7181483611264529,-0.07701491677341436,0.37686774803039946,0.4699655050652587,0.05949993898470845,-0.018932036898874786,0.006315694281865825,-0.10615213105291119,-0.13607864415544008,0.08058822157740725,0.012532375971259788,0.034873039396379556,-0.037758290296619784,0.022985341681052332,-0.0853200751899402,0.07100679683978242,-0.008123723266229715,-0.06793226074625673,0.011744048083884762,-0.02133853698384057,-0.006048172493560065,-0.006556206020860493
catahoula,superfamily,classified_conditional,-1.180442046734817,-1.403717794146289,-0.665995171707551,-0.523749505209141,0.02744711340769746,0.10098354089805946,0.05432378499838855,0.6062874141041276,0.21880139216074465,-0.31616618419535236,-0.2751335109693896,0.2008340388699906,0.08902813214041155,0.23696023551655337,-0.08725918631624963,-0.14370213347816183,-0.15538009784002377,-0.1787543428717766,0.012606418521341686,0.05811527426667804,-0.03609324007825849,-0.03203288245670349,-0.012333871134654756,-0.022950315780112366,0.028643590950564186,0.0016121773410532668,0.014200059196434286,0.0095780676005774
cheaha,superfamily,classified_conditional,-2.728805964520707,4.129376181085972,-0.6082931993190518,-0.2982866465772334,-0.8792933906254137,-0.18045681249169404,-0.027259581665260525,0.10224720571884258,-0.16528308476668122,-0.09147939388595852,0.16250747645787994,-0.3124633050294061,0.2974055116011422,7.908364966953058e-05,-0.09354908597195165,0.14677998801157596,-0.14035104104784013,-0.10179701090824572,-0.09777070991760436,-0.08682020320127433,-0.0027024550828904856,-0.010516041105301337,-0.01120704686959822,0.017359414458836087,0.00047889636379659374,-0.0015871723182072147,-0.02204162569144776,-0.0059281252640053725
conanti,superfamily,classified_conditional,-1.3499654276635644,-1.1032694248586568,1.8605651884671193,-1.0384953673544506,0.653269292731221,0.2649135297746447,0.03790681060243736,-0.01406840253934459,0.6894016516905824,0.16463245468038248,-0.31930855954045045,-0.11681887849335731,0.0620757877732014,0.0340472091823337,-0.059323240465674824,0.05588029570651001,-0.04377014757923978,0.1014512711998515,0.02410736526855371,0.02110135729722601,0.08073054292125047,-0.044781179891944384,-0.0025197067533291716,-0.02675283412578987,-0.019849350185943176,-0.004856186927619588,0.009938007140628981,-0.011499659196792963
fuscus,superfamily,classified_conditional,-2.2064279445188673,2.332788890670862,-1.9185839768116193,-0.22185602835672016,-0.36967598139570906,-0.40194420099423794,0.7170021254040869,-0.35772680175945004,0.22137599303680439,0.17611756760592487,-0.258793421967286,0.2063356171502465,-0.23793466165688043,-0.12040127208826393,-0.15368487271753,-0.06391957303043717,0.09559434685930146,-0.04039230527711431,0.03747005237805731,-0.005366595515226326,0.004583780610919953,-0.07719710613436943,0.009887571385099173,-0.021485704124019928,-0.01102331301374614,-0.0011852004653537956,-0.02344676295816404,-0.005790919466619571
gvnigeusgwotli,superfamily,classified_conditional,2.727375955286425,4.704583016956973,-3.026268225920292,1.1474795467525225,2.144973820481315,1.63164979510488,-0.012565360753145838,0.35632405838264,-0.013979693203861316,0.004152214716554903,0.0047429457319074775,0.010346966611111095,0.007752415552270259,-0.024552341278259594,0.018215222709158402,0.005632468902970583,-0.0031060758973415785,0.0036165763034764005,0.004076902662005484,0.0016568084861959527,0.0013464860277460269,-0.00019776841734107673,-0.0018926144233239316,0.0005825752110687547,-2.0735837425160433e-05,-1.0444906128871772e-05,-0.0003563120331927873,7.206847548308058e-05
intermedius,superfamily,classified_conditional,4.626581824560192,-0.42070066007005447,-1.322158840220976,0.3451972391900611,-0.5460062334433916,-0.3442829307697859,-0.17899559041697485,-0.19653660743251858,-0.32624636535321827,0.16567822535541044,0.10255912857407774,0.302962759380114,0.19877354955137658,-0.09543492979981893,0.08613895464381995,0.02541882717014055,0.0804180268689078,-0.0904382790528911,-0.011144792198179694,-0.012333623681777978,0.07464984483235629,0.029174360292586785,0.002189021839840756,-0.04409494919461224,-0.015191552960468832,0.014562958278658744,4.144153755859702e-05,0.011413386426026616
