fit_id,family,phase,tree_id,morphology_estimator,iod_subset,omitted_species,n_species,rank,model,k,q,C,p,CICc,delta_CICc,l,w,global_fit_pass,finite_ranking_row,release_gate_status,winner_claim_allowed_by_ranking_gate,absolute_genome_size_used,publication_claim_allowed,warning_count
loo__published_main__te_iod__image_balanced_selected50__image_qc_pass__marmoratus,te_iod,loo,published_main,image_balanced_selected50,image_qc_pass,marmoratus,17,1,mediated_evenness,1,5,4.229635483728525,0.12065527795534181,19.68418093827398,0,1,0.9931786482592704,TRUE,TRUE,supported_unique_top_model,TRUE,FALSE,FALSE,4
loo__published_main__te_iod__image_balanced_selected50__image_qc_pass__marmoratus,te_iod,loo,published_main,image_balanced_selected50,image_qc_pass,marmoratus,17,2,ltr_only,2,4,19.20911754541612,7.149665560296503e-4,30.542450878749456,10.858269940475477,0.004386888951345648,0.004356964438760999,FALSE,TRUE,supported_unique_top_model,TRUE,FALSE,FALSE,4
loo__published_main__te_iod__image_balanced_selected50__image_qc_pass__marmoratus,te_iod,loo,published_main,image_balanced_selected50,image_qc_pass,marmoratus,17,3,additive_composition,1,5,17.58097477474987,1.521737820280311e-4,33.03552022929532,13.351339291021343,0.0012612277275127275,0.0012526244495582022,FALSE,TRUE,supported_unique_top_model,TRUE,FALSE,FALSE,4
loo__published_main__te_iod__image_balanced_selected50__image_qc_pass__marmoratus,te_iod,loo,published_main,image_balanced_selected50,image_qc_pass,marmoratus,17,4,evenness_only,2,4,21.810610258478395,2.1858818781705924e-4,33.14394359181173,13.459762653537748,0.0011946747256388422,0.0011865254291195,FALSE,TRUE,supported_unique_top_model,TRUE,FALSE,FALSE,4
loo__published_main__te_iod__image_balanced_selected50__image_qc_pass__marmoratus,te_iod,loo,published_main,image_balanced_selected50,image_qc_pass,marmoratus,17,5,proxy_null,3,3,32.99870287275313,1.0491860937822395e-5,40.844856718906975,21.160675780632996,2.541075901605799e-5,2.5237423290810544e-5,FALSE,TRUE,supported_unique_top_model,TRUE,FALSE,FALSE,4
loo__published_main__te_iod__image_balanced_selected50__image_qc_pass__mavrokoilius,te_iod,loo,published_main,image_balanced_selected50,image_qc_pass,mavrokoilius,17,1,mediated_evenness,1,5,5.073588995252284,0.07911961184151861,20.528134449797736,0,1,0.9936074304249046,TRUE,TRUE,supported_unique_top_model,TRUE,FALSE,FALSE,4
loo__published_main__te_iod__image_balanced_selected50__image_qc_pass__mavrokoilius,te_iod,loo,published_main,image_balanced_selected50,image_qc_pass,mavrokoilius,17,2,ltr_only,2,4,19.73758380454944,5.6262549425945e-4,31.070917137882773,10.542782688085037,0.0051364590173934134,0.0051036238457550995,FALSE,TRUE,supported_unique_top_model,TRUE,FALSE,FALSE,4
loo__published_main__te_iod__image_balanced_selected50__image_qc_pass__mavrokoilius,te_iod,loo,published_main,image_balanced_selected50,image_qc_pass,mavrokoilius,17,3,additive_composition,1,5,19.39897613133765,6.131487621008347e-5,34.8535215858831,14.325387136085364,7.749643202617335e-4,7.700103069262439e-4,FALSE,TRUE,supported_unique_top_model,TRUE,FALSE,FALSE,4
loo__published_main__te_iod__image_balanced_selected50__image_qc_pass__mavrokoilius,te_iod,loo,published_main,image_balanced_selected50,image_qc_pass,mavrokoilius,17,4,evenness_only,2,4,24.472565126589934,6.421197582240357e-5,35.80589845992327,15.277764010125534,4.813663164422649e-4,4.7828914877330033e-4,FALSE,TRUE,supported_unique_top_model,TRUE,FALSE,FALSE,4
loo__published_main__te_iod__image_balanced_selected50__image_qc_pass__mavrokoilius,te_iod,loo,published_main,image_balanced_selected50,image_qc_pass,mavrokoilius,17,5,proxy_null,3,3,32.89036121560995,1.1007645734584237e-5,40.7365150617638,20.20838061196606,4.090777946709958e-5,4.064627364069349e-5,FALSE,TRUE,supported_unique_top_model,TRUE,FALSE,FALSE,4
