Specimen,Museum,Species,Clade,State,County,LatDD,LongDD,SVL,TL,AG,CW,FL,HL,SG,TW,TO,FI,HW,ED,IN,ES,ON,IO,IC
RAP2706,,carolinensis,carolinensis,North Carolina,Yancey,36.038047,-82.39037,29.46,34.54,16.21,4.35,2.90,2.36,6.91,3.08,1.99,1.17,4.50,1.86,1.63,1.61,1.11,1.21,2.22
RAP2712,,carolinensis,carolinensis,North Carolina,Madison,35.964025,-82.60595,34.05,32.44,19.12,4.60,2.66,2.74,7.27,3.19,1.77,1.08,4.96,1.84,1.98,1.78,0.96,1.51,2.50
RAP2713,,carolinensis,carolinensis,North Carolina,Madison,35.964025,-82.60595,37.95,36.02,20.00,5.03,3.11,3.08,9.24,4.07,2.59,1.34,5.61,2.07,2.17,2.15,1.34,1.42,2.86
RAP2791,,carolinensis,carolinensis,North Carolina,Buncombe,35.53607,-82.19881,19.10,15.68,9.65,2.65,1.96,1.68,5.09,1.72,1.27,0.76,3.41,1.56,1.37,1.35,0.64,1.12,1.87
RAP2792,,carolinensis,carolinensis,North Carolina,Buncombe,35.53607,-82.19881,34.98,3.03,18.34,4.66,3.04,3.08,8.50,3.22,2.47,1.16,5.17,2.03,2.03,2.35,1.52,1.61,2.93
RAP2841,,carolinensis,carolinensis,Tennessee,Cocke,35.854063,-82.970493,23.48,26.12,12.28,3.25,2.61,2.20,5.76,1.98,1.55,0.97,3.92,1.72,1.55,1.25,0.77,1.16,1.83
RAP2842,,carolinensis,carolinensis,Tennessee,Cocke,35.854063,-82.970493,26.25,29.50,14.56,3.42,2.40,2.51,6.00,2.34,1.43,0.91,4.03,1.69,1.54,1.49,0.95,1.00,1.93
RAP0935,,campi,conanti A,North Carolina,Transylvania,35.0828156,-82.7655505,44.58,27.26,23.07,6.38,3.19,3.28,9.67,5.14,3.24,1.82,6.97,2.56,2.55,2.75,1.77,1.74,3.03
RAP1354,,campi,conanti A,Georgia,Monroe,33.06324,-83.858433,22.96,13.68,12.20,3.34,2.07,1.74,5.40,2.59,1.49,0.92,3.95,1.68,1.43,1.26,0.72,0.86,1.80
RAP1355,,campi,conanti A,Georgia,Monroe,33.06324,-83.858434,45.21,23.15,23.98,6.73,3.21,2.46,9.75,5.35,2.33,1.71,6.99,2.55,2.64,2.57,1.53,2.08,3.42
RAP1356,,campi,conanti A,Georgia,Monroe,33.06324,-83.858435,45.92,27.07,24.63,7.00,2.67,3.10,9.42,5.99,2.95,1.89,7.10,2.35,2.67,3.08,1.94,2.16,3.45
RAP1357,,campi,conanti A,Georgia,Monroe,33.06324,-83.858436,40.52,30.03,22.06,6.49,2.90,2.61,8.39,5.24,2.30,1.47,6.33,2.29,2.16,2.39,1.57,1.83,2.66
RAP1358,,campi,conanti A,Georgia,Monroe,33.06324,-83.858437,48.37,34.79,26.96,7.52,4.47,3.64,9.55,6.32,3.02,1.48,7.62,2.57,2.61,2.69,1.56,1.97,3.16
RAP1359,,campi,conanti A,Georgia,Jasper,33.318497,-83.670846,41.08,34.89,22.02,6.96,3.30,3.17,8.51,5.46,2.77,0.85,6.78,2.43,2.22,2.60,1.69,1.37,2.79
RAP1360,,campi,conanti A,Georgia,Newton,33.469797,-83.751694,42.08,34.71,22.34,6.59,3.38,3.22,9.23,5.74,3.26,1.47,6.81,2.40,2.45,2.88,1.85,1.89,3.30
RAP1408,,campi,conanti A,Georgia,Wayne,31.666559,-81.846154,33.82,24.63,17.29,5.05,3.04,2.36,7.56,3.99,2.23,1.15,5.49,2.07,1.93,1.82,1.00,1.13,1.99
RAP1409,,campi,conanti A,Georgia,Pulaski,32.367636,-83.481783,21.40,14.16,10.25,3.05,1.71,1.65,5.09,2.45,1.47,0.80,3.91,1.42,1.36,1.40,0.93,1.00,1.87
RAP1410,,campi,conanti A,Georgia,Pulaski,32.367636,-83.481783,22.70,11.85,11.76,3.64,2.19,1.52,5.65,2.40,1.29,0.61,3.90,1.73,1.45,1.18,0.66,1.10,1.69
RAP1411,,campi,conanti A,Georgia,Pulaski,32.367636,-83.481783,23.05,13.37,12.04,3.31,2.05,1.76,5.36,2.52,1.47,0.83,3.85,1.59,1.41,1.30,0.82,0.83,1.72
RAP1412,,campi,conanti A,Georgia,Pulaski,32.367636,-83.481783,22.18,13.51,10.97,3.29,1.96,1.40,5.31,2.34,1.52,0.70,3.93,1.41,1.52,1.51,0.93,1.10,1.91
RAP1413,,campi,conanti A,Georgia,Pulaski,32.367636,-83.481783,23.64,14.37,12.40,3.28,1.76,1.77,5.50,2.45,1.54,0.65,4.00,1.68,1.60,1.26,0.71,0.90,1.70
RAP1414,,campi,conanti A,Georgia,Pulaski,32.367636,-83.481783,44.04,24.35,24.06,7.26,3.35,2.07,9.39,5.39,2.57,1.45,7.43,2.56,2.65,2.61,1.57,1.94,3.15
RAP1415,,campi,conanti A,Georgia,Pulaski,32.367636,-83.481783,41.89,25.75,22.27,6.80,3.59,2.80,9.15,5.61,2.75,1.29,6.70,2.36,2.48,2.32,1.63,1.44,2.65
RAP1643,,campi,conanti A,Georgia,Wayne,31.666559,-81.846154,43.47,27.13,22.87,6.34,3.32,2.88,9.53,5.05,3.09,1.50,7.06,2.36,2.32,2.79,1.82,2.02,3.26
RAP1746,,campi,conanti A,Georgia,Effingham,32.53196,-81.27638,50.00,15.35,26.59,7.78,3.83,3.38,10.60,5.98,3.09,1.63,8.38,2.32,3.32,3.01,1.78,2.65,3.80
RAP1747,,campi,conanti A,Georgia,Effingham,32.53196,-81.27638,52.98,28.14,28.85,8.01,4.54,3.58,11.93,6.75,3.12,1.86,8.68,2.62,3.45,3.15,1.77,1.84,3.95
RAP1748,,campi,conanti A,Georgia,Effingham,32.53196,-81.27638,50.03,45.76,26.35,7.72,4.65,3.20,11.54,6.33,3.04,2.03,8.68,2.93,3.38,3.25,1.98,2.25,3.81
RAP1749,MNHN-RA 2021.0154,campi,conanti A,Georgia,Effingham,32.53196,-81.27638,39.16,37.64,21.51,5.95,2.95,2.82,8.52,4.60,2.63,1.56,6.13,2.22,2.27,1.65,0.86,1.59,2.58
RAP1750,,campi,conanti A,Georgia,Effingham,32.53196,-81.27638,27.96,28.95,15.04,4.22,2.54,1.75,6.18,3.08,1.77,0.87,4.63,1.83,1.65,1.59,1.01,1.06,1.92
RAP1751,,campi,conanti A,Georgia,Effingham,32.53196,-81.27638,37.78,35.70,21.63,5.38,3.23,2.90,7.64,3.90,2.65,1.20,6.05,2.15,2.17,1.75,1.06,1.61,2.59
RAP1752,BMNH 2021.7568,campi,conanti A,Georgia,Effingham,32.53196,-81.27638,34.68,33.61,19.73,5.03,2.78,2.35,7.50,3.68,2.34,1.23,5.21,1.91,1.69,1.61,0.92,1.31,2.46
RAP1753,,campi,conanti A,Georgia,Effingham,32.53196,-81.27638,31.29,31.94,17.21,4.62,2.52,2.07,6.63,3.47,2.09,1.06,5.00,1.72,1.91,1.55,0.82,1.24,2.14
RAP1756,,campi,conanti A,Georgia,Effingham,32.53196,-81.27638,20.13,15.89,10.78,2.75,1.52,1.83,4.65,1.66,1.50,0.83,3.52,1.50,1.10,1.12,0.59,0.86,1.39
RAP1763,,campi,conanti A,Georgia,Effingham,32.347824,-81.243411,42.17,41.47,24.01,5.68,3.85,2.74,9.11,4.05,2.46,1.32,6.12,2.18,2.41,2.18,1.32,1.48,2.78
RAP1764,,campi,conanti A,Georgia,Effingham,32.347824,-81.243411,24.31,22.34,12.53,3.94,2.24,1.65,5.85,2.49,1.35,0.64,4.18,1.61,1.55,1.43,0.84,1.07,1.80
RAP1765,,campi,conanti A,Georgia,Effingham,32.347824,-81.243411,36.33,35.46,19.84,5.13,2.85,2.63,7.69,3.92,2.35,1.19,5.58,1.99,1.92,2.04,1.26,1.58,2.70
RAP1766,,campi,conanti A,Georgia,Effingham,32.347824,-81.243411,38.23,40.47,20.98,5.71,3.24,2.23,9.12,4.26,2.46,1.37,5.88,2.30,1.86,1.86,1.25,1.92,2.73
RAP1767,,campi,conanti A,Georgia,Effingham,32.347824,-81.243411,38.65,39.98,20.88,5.85,3.11,2.30,8.83,4.05,2.41,1.25,6.32,1.88,2.41,2.36,1.38,1.73,2.96
RAP1768,,campi,conanti A,Georgia,Effingham,32.347824,-81.243411,47.38,40.07,25.03,6.92,3.52,2.92,10.27,5.22,3.03,1.27,7.25,2.48,2.62,2.46,1.75,1.75,2.89
