id,decision,decision_source,species,rank,review_key,filename,tile_name
"tilleyi-0169","keep","implicit_default","D. tilleyi","4","Process_350_raw_green.ome.tiff::tile_y008192_x032768.tiff::32","Process_350_raw_green.ome.tiff","tile_y008192_x032768.tiff"
"tilleyi-0170","problem","explicit","D. tilleyi","5","Process_350_raw_green.ome.tiff::tile_y053248_x040960.tiff::52","Process_350_raw_green.ome.tiff","tile_y053248_x040960.tiff"
"tilleyi-0171","keep","implicit_default","D. tilleyi","6","Process_350_raw_green.ome.tiff::tile_y053248_x040960.tiff::23","Process_350_raw_green.ome.tiff","tile_y053248_x040960.tiff"
"tilleyi-0172","keep","implicit_default","D. tilleyi","7","Process_350_raw_green.ome.tiff::tile_y020480_x032768.tiff::69","Process_350_raw_green.ome.tiff","tile_y020480_x032768.tiff"
"tilleyi-0173","keep","implicit_default","D. tilleyi","8","Process_351_raw_green.ome.tiff::tile_y073728_x053248.tiff::44","Process_351_raw_green.ome.tiff","tile_y073728_x053248.tiff"
"valtos-0174","keep","implicit_default","D. valtos","1","Process_363_raw_green.ome.tiff::tile_y040960_x061440.tiff::157","Process_363_raw_green.ome.tiff","tile_y040960_x061440.tiff"
"valtos-0175","keep","implicit_default","D. valtos","2","Process_363_raw_green.ome.tiff::tile_y040960_x061440.tiff::153","Process_363_raw_green.ome.tiff","tile_y040960_x061440.tiff"
"valtos-0176","keep","implicit_default","D. valtos","3","Process_362_raw_green.ome.tiff::tile_y053248_x032768.tiff::106","Process_362_raw_green.ome.tiff","tile_y053248_x032768.tiff"
"valtos-0177","keep","implicit_default","D. valtos","4","Process_362_raw_green.ome.tiff::tile_y049152_x004096.tiff::83","Process_362_raw_green.ome.tiff","tile_y049152_x004096.tiff"
"valtos-0178","keep","implicit_default","D. valtos","5","Process_363_raw_green.ome.tiff::tile_y040960_x061440.tiff::141","Process_363_raw_green.ome.tiff","tile_y040960_x061440.tiff"
"valtos-0179","keep","implicit_default","D. valtos","6","Process_362_raw_green.ome.tiff::tile_y049152_x004096.tiff::65","Process_362_raw_green.ome.tiff","tile_y049152_x004096.tiff"
"valtos-0180","keep","implicit_default","D. valtos","7","Process_363_raw_green.ome.tiff::tile_y040960_x061440.tiff::7","Process_363_raw_green.ome.tiff","tile_y040960_x061440.tiff"
"valtos-0181","keep","implicit_default","D. valtos","8","Process_363_raw_green.ome.tiff::tile_y040960_x061440.tiff::317","Process_363_raw_green.ome.tiff","tile_y040960_x061440.tiff"
"valtos-0182","keep","implicit_default","D. valtos","9","Process_362_raw_green.ome.tiff::tile_y028672_x045056.tiff::58","Process_362_raw_green.ome.tiff","tile_y028672_x045056.tiff"
"valtos-0183","keep","implicit_default","D. valtos","10","Process_363_raw_green.ome.tiff::tile_y040960_x065536.tiff::51","Process_363_raw_green.ome.tiff","tile_y040960_x065536.tiff"
"welteri-0184","keep","implicit_default","D. welteri","1","Process_319_raw_green.ome.tiff::tile_y040960_x073728.tiff::83","Process_319_raw_green.ome.tiff","tile_y040960_x073728.tiff"
"welteri-0185","keep","implicit_default","D. welteri","2","Process_319_raw_green.ome.tiff::tile_y040960_x073728.tiff::24","Process_319_raw_green.ome.tiff","tile_y040960_x073728.tiff"
"welteri-0186","keep","implicit_default","D. welteri","3","Process_319_raw_green.ome.tiff::tile_y040960_x073728.tiff::32","Process_319_raw_green.ome.tiff","tile_y040960_x073728.tiff"
"welteri-0187","keep","implicit_default","D. welteri","4","Process_319_raw_green.ome.tiff::tile_y040960_x020480.tiff::201","Process_319_raw_green.ome.tiff","tile_y040960_x020480.tiff"
"welteri-0188","keep","implicit_default","D. welteri","5","Process_319_raw_green.ome.tiff::tile_y040960_x020480.tiff::8","Process_319_raw_green.ome.tiff","tile_y040960_x020480.tiff"
"welteri-0189","keep","implicit_default","D. welteri","6","Process_319_raw_green.ome.tiff::tile_y040960_x020480.tiff::257","Process_319_raw_green.ome.tiff","tile_y040960_x020480.tiff"
"welteri-0190","keep","implicit_default","D. welteri","7","Process_318_raw_green.ome.tiff::tile_y032768_x024576.tiff::17","Process_318_raw_green.ome.tiff","tile_y032768_x024576.tiff"
"welteri-0191","keep","implicit_default","D. welteri","8","Process_319_raw_green.ome.tiff::tile_y040960_x020480.tiff::96","Process_319_raw_green.ome.tiff","tile_y040960_x020480.tiff"
"welteri-0192","keep","implicit_default","D. welteri","9","Process_318_raw_green.ome.tiff::tile_y032768_x049152.tiff::37","Process_318_raw_green.ome.tiff","tile_y032768_x049152.tiff"
"welteri-0193","keep","implicit_default","D. welteri","10","Process_319_raw_green.ome.tiff::tile_y040960_x073728.tiff::187","Process_319_raw_green.ome.tiff","tile_y040960_x073728.tiff"
"welteri-0194","keep","implicit_default","D. welteri","11","Process_319_raw_green.ome.tiff::tile_y040960_x020480.tiff::66","Process_319_raw_green.ome.tiff","tile_y040960_x020480.tiff"
"welteri-0195","keep","implicit_default","D. welteri","12","Process_319_raw_green.ome.tiff::tile_y040960_x073728.tiff::200","Process_319_raw_green.ome.tiff","tile_y040960_x073728.tiff"
