species,Academ,CACTA,CR1,Chapaev,Copia,Cyrypton,DIRS,Dada,EnSpm,Gypsy,Helitron,IS3EU,Jockey,Kolobok,L1,L2,MITE,MULE,Maverick,Merlin,Mutator,P,PIF-Harbinger,Penelope,PiggyBac,Tc1-mariner,hAT,tRNA
mavrokoilius,3.852670109239595e-4,0.00968521002564023,1.051746030349847e-6,1.5493463027734302e-6,0.00899904689442769,0.00163348724176776,0.08193397749112707,0,3.4475908167618403e-4,0.5551846304344138,0.00294476951117684,2.140183797959211e-5,0.00101372484589784,8.126340206541811e-5,0.03962121687141368,0.09992279405066098,0.002428879915609,1.0495973019007452e-4,0.00616526234906282,0,0.02341661645636981,7.275896104581504e-5,0.04776306813291205,9.413943739755058e-5,6.037901810649274e-4,0.01322526276372971,0.10340108278321906,9.500294978949372e-4
monticola,4.095188781480598e-4,0.00956246151278012,0,0,0.00802730629840308,0.00189195760148655,0.07271737529867116,0,4.2314235594179865e-4,0.5557825983162302,0.00214459293884634,3.1242954095590554e-5,9.727986640102104e-4,1.6500085231771063e-4,0.05591349955503885,0.0993249749610094,0.00260978087141062,2.031092515301196e-4,0.00286205049498695,0,0.02244107495485058,1.0445604036183036e-4,0.04944240514539141,7.516313353819886e-5,5.520002009533304e-4,0.0127347408724246,0.10105665913625332,5.520897113199121e-4
ocoee,4.82154827121805e-4,0.00968614857277452,4.369506517820701e-7,0,0.00746353582246528,0.00183631446154598,0.07598313577090042,1.933017510271725e-6,3.6098254189626975e-4,0.550584256107676,0.00201811462795401,1.4851104839375077e-5,8.679913829574997e-4,1.2907261387581586e-4,0.06465607445939624,0.0945549393223847,0.00217533729844702,1.6047827893136415e-4,0.00460280947060564,2.6217039106924204e-7,0.02550622474289908,6.361349324795027e-5,0.04836761588582798,6.467521811526551e-5,4.731653826678289e-4,0.0127365180291591,0.09637111361970928,8.382448260484195e-4
orestes,0,0.00993785701163688,8.114932345438026e-4,0,0.00885380663169079,0,0.07840450469240953,9.920366312150869e-7,0,0.5802256188763918,0.0020489005278265,1.3098062259778847e-5,2.7924144237894648e-5,0,0.057543397593073,0.10108761051668552,0.00284885558385211,1.3938545231751994e-5,0.00319845182811517,0,0.02432606925487165,1.1299929206954896e-4,0.01915754232882294,0.01172668382773652,3.616233995878045e-4,0,0.09617419358681575,0.00312443902551001
organi,5.2707330323735e-4,0.01101298363643062,2.021517497469005e-7,0,0.01170462369457323,0.00202975725817272,0.08388089550101478,0,1.614790946180292e-4,0.4894838209037846,0.00239047905578273,2.2215923456774096e-5,9.541341051889596e-4,8.84856977470902e-5,0.09101936393334092,0.10284058903408838,0.00155438495723366,6.430225623284798e-5,0.0042126915432136,0,0.01798419364945761,5.170654070238528e-5,0.05216767099717437,8.458527665779554e-5,5.262190044045156e-4,0.0159047319836656,0.1109323954260137,4.0101507205784966e-4
pascagoula,2.1270268775778244e-4,0.00815640491842278,0,0,0.00624503241632513,0.00133109822456877,0.06575638734899866,0,3.400970122227483e-4,0.5734138635153644,0.00143581314053939,2.440171651570184e-5,7.268504546497303e-4,1.3609645044445893e-4,0.06646048663231982,0.08145111095331915,0.00179735547579583,1.7254844091013348e-4,0.00601843950260549,0,0.02287313520643013,6.351246116735104e-5,0.05089699019367575,5.1772767352377134e-5,4.769781480840413e-4,0.00930030331950083,0.10200490782729224,6.537111857373216e-4
perlapsus,3.773578228554289e-4,0.00966011070642724,0,0,0.00744571888227584,0.00187455064310887,0.08117022260181778,0,4.012535834305065e-4,0.5480108486623572,0.00189336073967336,1.7432864060730404e-5,0.00109970332716216,2.2873191328865976e-4,0.06510003302419741,0.09885217805896804,0.00230867141426065,1.2849165054800904e-4,0.0047482601686483,0,0.02290257789797577,6.620423953921726e-5,0.04667112050369296,5.213032129357412e-5,4.061140233286385e-4,0.01256255442778522,0.09343454147296676,5.878310503376836e-4
santeetlah,3.844472050408227e-4,0.00934264448673703,0,0,0.00750091456877405,0.00182087943485671,0.07524825172478083,0,3.406292253753235e-4,0.550230378198724,0.00208925118506295,1.2184678837465048e-5,9.186781910865264e-4,1.6354098231125414e-4,0.06061471520529106,0.100976346016793,0.00217315832927172,1.6669686289054423e-4,0.00421713955871167,0,0.02582157472546317,1.3583018369679243e-4,0.04946476427909862,7.600525266388964e-5,4.228581996108174e-4,0.01201919556641958,0.0951201937841787,7.39722154323384e-4
tilleyi,4.1001777349245595e-4,0.01050384712385613,0,2.316432721521478e-6,0.00829329872567107,0.00204216630028335,0.07870735357181452,0,3.836332637566663e-4,0.5345388762771851,0.00211216165663587,1.2335069826267255e-5,0.00102104707885071,1.627812101775407e-4,0.06209348228945392,0.10360777628091102,0.00271011216773235,1.5398637359894418e-4,0.00253040630783465,0,0.02582275512557107,6.865481601197942e-5,0.05058841155657738,9.601652981205756e-5,4.119931685539573e-4,0.01317612640994248,0.09977882055026724,7.716239394617439e-4
valentinei,2.4161011879596185e-4,0.00782256076341663,0,0,0.00592331862023902,0.00133677080309329,0.06278676644460696,3.381948663925681e-7,3.1988138273709115e-4,0.5686889334081765,0.00128268626310721,1.243792695270476e-5,8.375291628068198e-4,1.7185395299770294e-4,0.07436517346077819,0.07805321975023227,0.00176414371786815,1.5873500350582412e-4,0.00644565132576956,0,0.02456604540196357,7.39673868058047e-5,0.05440945259654998,5.928254875446439e-5,5.309948952762629e-4,0.01067448047219814,0.09893684424789954,5.373221506019567e-4
