species,display_species,rank,superfamily,classified_conditional_proportion,top10_renormalized_proportion,shannon_component,gini_simpson_squared_component
campi,D. campi,9,CACTA,0.01001320361823299,0.010158812876980302,0.04662299485595547,1.032014790695008e-4
campi,D. campi,10,Copia,0.00723504585259911,0.007340255903624287,0.03607281835174307,5.3879356730691194e-5
carolinensis,D. carolinensis,1,Gypsy,0.5388745380030583,0.5461722297722031,0.3303363871218338,0.29830410457434026
carolinensis,D. carolinensis,2,hAT,0.10276457264634031,0.10415625869396841,0.2355871898418243,0.01084852622512487
carolinensis,D. carolinensis,3,L2,0.10274054851304762,0.10413190921459341,0.23555646128783214,0.010843454516676324
carolinensis,D. carolinensis,4,DIRS,0.07936877395786347,0.08044362312514058,0.20273391231203536,0.006471176501499653
carolinensis,D. carolinensis,5,L1,0.05447149428313456,0.05520917281022949,0.15992033453253848,0.003048052762389783
carolinensis,D. carolinensis,6,PIF-Harbinger,0.05192877741119264,0.05263202127366897,0.154971332662349,0.002770129663351943
carolinensis,D. carolinensis,7,Mutator,0.02358800217178686,0.023907441961867726,0.08926000024759782,5.715657811600737e-4
carolinensis,D. carolinensis,8,Tc1-mariner,0.01388961060756346,0.014077710229755793,0.060015567283451116,1.981819253129709e-4
carolinensis,D. carolinensis,9,CACTA,0.01004197182757729,0.010177964920558944,0.04669172142130648,1.0359096992412844e-4
carolinensis,D. carolinensis,10,Copia,0.00897018948427695,0.009091667998013494,0.04273444797818545,8.265842698610269e-5
catahoula,D. catahoula,1,Gypsy,0.5853656687797979,0.5937444922221845,0.309522684971902,0.35253252204417973
catahoula,D. catahoula,2,hAT,0.09047564916047073,0.09177070203183423,0.21919085124385485,0.008421861751415703
catahoula,D. catahoula,3,L2,0.0894257951402096,0.09070582058180533,0.21770610129258372,0.00822754588741866
catahoula,D. catahoula,4,DIRS,0.0724224555400316,0.07345909810483887,0.19180365299538388,0.005396239094376342
catahoula,D. catahoula,5,L1,0.04826666638147748,0.04895754713744322,0.14769521345646375,0.002396841421714975
catahoula,D. catahoula,6,PIF-Harbinger,0.04467524871143606,0.045314722532950255,0.1402093387573034,0.0020534240782382695
catahoula,D. catahoula,7,Mutator,0.02804184960420311,0.028443235813478667,0.10125350805460841,8.090176635411555e-4
catahoula,D. catahoula,8,Tc1-mariner,0.01111051357187044,0.01126954755103597,0.05055125834684023,1.2700270200506083e-4
catahoula,D. catahoula,9,CACTA,0.00938899748012037,0.009523389974218848,0.044321898879451586,9.069495660105207e-5
catahoula,D. catahoula,10,Copia,0.0067153220855738,0.006811444050210145,0.0339833237991834,4.639577004914318e-5
cheaha,D. cheaha,1,Gypsy,0.5707295887381778,0.5779291789550803,0.3168808490847278,0.3340021358876933
cheaha,D. cheaha,2,hAT,0.09593700695142174,0.09714722480295007,0.22650144265984481,0.009437583286914918
cheaha,D. cheaha,3,L2,0.0911325431304538,0.0922821540476205,0.21989956046633022,0.00851599595566876
cheaha,D. cheaha,4,DIRS,0.07995793112030275,0.08096657750909474,0.20352721071251037,0.006555586673536245
cheaha,D. cheaha,5,PIF-Harbinger,0.04903713917870921,0.049655728637644524,0.1490983522516066,0.0024656913865353904
cheaha,D. cheaha,6,L1,0.04733509790291481,0.04793221659888326,0.14561651240986334,0.0022974973880822602
cheaha,D. cheaha,7,Mutator,0.02495906073900371,0.025273912138099548,0.09295700796648008,6.387706347643757e-4
cheaha,D. cheaha,8,Tc1-mariner,0.0124171988072655,0.012573838212017187,0.055024838078006476,1.5810140738198357e-4
cheaha,D. cheaha,9,CACTA,0.00871034552042199,0.008820224033174971,0.041725904472262834,7.779635199539736e-5
cheaha,D. cheaha,10,Copia,0.00732652307627449,0.00741894506543485,0.036380417473297115,5.504074588394011e-5
conanti,D. conanti,1,Gypsy,0.5491824792093176,0.5568435006291516,0.32601574726371835,0.3100746841929279
conanti,D. conanti,2,hAT,0.09889214153129348,0.10027167355062386,0.2306120185177522,0.01005440851664288
conanti,D. conanti,3,L2,0.09475608907109838,0.09607792371716817,0.22507173205830497,0.009230967425801985
conanti,D. conanti,4,L1,0.06932038482119092,0.07028739482797569,0.18662447617401556,0.0049403178717037435
conanti,D. conanti,5,DIRS,0.06876481145876866,0.06972407129217584,0.18568982055815286,0.004861446117556419
conanti,D. conanti,6,PIF-Harbinger,0.04846122731242126,0.049137254888913545,0.1480573189400797,0.002414469818018058
conanti,D. conanti,7,Mutator,0.02392823259018371,0.024262028203394265,0.09022666831973493,5.886460125422988e-4
conanti,D. conanti,8,Tc1-mariner,0.01455489064965687,0.01475792940863349,0.06221905780248202,2.177964804302092e-4
conanti,D. conanti,9,CACTA,0.01020231641271504,0.010344637348885955,0.04728830648187078,1.0701152187996624e-4
conanti,D. conanti,10,Copia,0.00817948344364879,0.008293586133077612,0.03974512738895422,6.878357094677725e-5
gvnigeusgwotli,D. gvnigeusgwotli,1,Gypsy,0.540314584383503,0.5503723481795586,0.3286604797441273,0.3029097216406813
gvnigeusgwotli,D. gvnigeusgwotli,2,hAT,0.1069225153794084,0.1089128399703932,0.24148234928403808,0.011862006710416477
gvnigeusgwotli,D. gvnigeusgwotli,3,L2,0.0964712748855102,0.09826705335225269,0.22798609581223064,0.009656413774534477
gvnigeusgwotli,D. gvnigeusgwotli,4,DIRS,0.08365180505081313,0.08520895364652381,0.2098397241169421,0.007260565781535443
gvnigeusgwotli,D. gvnigeusgwotli,5,PIF-Harbinger,0.0526214888864668,0.05360101918439634,0.15684661605415304,0.0028730692576060244
gvnigeusgwotli,D. gvnigeusgwotli,6,L1,0.03826752369779601,0.03897986003950618,0.12647834850901474,0.001519429488699491
gvnigeusgwotli,D. gvnigeusgwotli,7,Mutator,0.02764925042182648,0.028163931383470373,0.10053715617721354,7.932070309728274e-4
gvnigeusgwotli,D. gvnigeusgwotli,8,Tc1-mariner,0.01375134740609734,0.014007323846647872,0.05978570881832072,1.9620512134487013e-4
gvnigeusgwotli,D. gvnigeusgwotli,9,CACTA,0.01283546983184236,0.013074397537129764,0.0567049610280115,1.7093987095890485e-4
gvnigeusgwotli,D. gvnigeusgwotli,10,Copia,0.00924026854790555,0.009412272860121175,0.04391522567243629,8.859088039337365e-5
fuscus,D. fuscus,1,Gypsy,0.5796541116384131,0.5885123921450558,0.3120041380893629,0.34634683570829594
fuscus,D. fuscus,2,L2,0.09457731546194524,0.09602264703659603,0.22499750191976414,0.009220348743914706
fuscus,D. fuscus,3,hAT,0.08549102753810615,0.08679750236081227,0.21214849645680015,0.007533806416075211
fuscus,D. fuscus,4,DIRS,0.07308673156948031,0.0742036438048239,0.192999375367343,0.00550618075391318
fuscus,D. fuscus,5,L1,0.05585778052427431,0.05671139974033391,0.16274924272239064,0.003216182860507945
fuscus,D. fuscus,6,PIF-Harbinger,0.04508205184363411,0.04577099625553028,0.14116254275260373,0.0020949840982237666
fuscus,D. fuscus,7,Mutator,0.02397833243665915,0.02434476957656847,0.09045148817715404,5.926678057362137e-4
fuscus,D. fuscus,8,Tc1-mariner,0.01132924208011326,0.011502375682132642,0.05136042726462683,1.3230464633291639e-4
fuscus,D. fuscus,9,CACTA,0.0088283786824778,0.008963294062560597,0.04225850285360894,8.034064045193406e-5
fuscus,D. fuscus,10,Copia,0.00706304185234898,0.007170979335586042,0.035408238216127215,5.142294463140203e-5
intermedius,D. intermedius,1,Gypsy,0.5473435590045186,0.5571076371892512,0.3259061923758058,0.3103689194145903
intermedius,D. intermedius,2,hAT,0.10511743074739612,0.10699262375096869,0.23912802018442084,0.011447421537116349
intermedius,D. intermedius,3,L2,0.1007288103756716,0.10252571464865134,0.23351683657221772,0.01051152216421668
intermedius,D. intermedius,4,DIRS,0.0813471087663889,0.08279826228236625,0.2062793020926899,0.006855552236979514
intermedius,D. intermedius,5,PIF-Harbinger,0.04870819800281585,0.049577105009599505,0.14894083503183167,0.0024578893411328563
intermedius,D. intermedius,6,L1,0.04036691943826662,0.04108702612626508,0.13115237067362476,0.0016881437159003893
intermedius,D. intermedius,7,Mutator,0.02334035800366114,0.02375672735095351,0.08884753592796846,5.643820944275426e-4
intermedius,D. intermedius,8,Tc1-mariner,0.01616547543671949,0.016453851838452573,0.06757918910580098,2.7072924032174914e-4
intermedius,D. intermedius,9,CACTA,0.00992584241881021,0.010102909819772897,0.046422181559564415,1.0206878682646364e-4
intermedius,D. intermedius,10,Copia,0.00942992133388191,0.009598141983719027,0.044594750440233484,9.212432953962982e-5
kanawha,D. kanawha,1,Gypsy,0.5645011205238231,0.5743863719639273,0.31847023975335376,0.32991970429788303
kanawha,D. kanawha,2,hAT,0.10222369184160472,0.10401378022274435,0.2354073040330868,0.010818866476225365
kanawha,D. kanawha,3,L2,0.09507473271858918,0.09673963222782637,0.2259578656185518,0.009358556443575103
kanawha,D. kanawha,4,DIRS,0.08136574916899036,0.08279058405399743,0.20626785082456842,0.006854280808002014
kanawha,D. kanawha,5,PIF-Harbinger,0.04818948044469743,0.049033349683649134,0.14784803351015327,0.0024042693811990147
kanawha,D. kanawha,6,L1,0.03627224935185544,0.03690743020819905,0.12177024890146149,0.001362158404573084
kanawha,D. kanawha,7,Mutator,0.02297755935989606,0.02337993048635498,0.08781215009932271,5.46621149546791e-4
kanawha,D. kanawha,8,Tc1-mariner,0.01334913597653978,0.013582899136325516,0.05839211858696146,1.8449514894759245e-4
kanawha,D. kanawha,9,CACTA,0.01051677570460963,0.01070094003732659,0.04855469880299948,1.1451011768245921e-4
kanawha,D. kanawha,10,Copia,0.00831939700536305,0.008465081979649285,0.040393725416351424,7.165761292218305e-5
lycos,D. lycos,1,Gypsy,0.5576062771936255,0.5659835421401147,0.3221523300861998,0.320337369973471
lycos,D. lycos,2,hAT,0.09655966832352723,0.09801034410996644,0.2276468869470998,0.009606027552554033
