species,display_species,cluster,selected_k,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28
monticola,D. monticola,2,2,1.00299473391267,0.7884582445020548,-0.33116605981829467,-0.9596353032989423,-0.5175630920568326,1.995941773935117,0.551298111868888,-0.11778186361298641,0.28913152619727317,0.4659478313501537,-0.2815047079168519,1.3180036497847263,-0.12872630249165828,0.1242585989555563,0.22230934511677403,-0.5031492986029212,0.031178260686759326,0.08661220081193681,0.4763869461418298,0.16401489272643655,0.04362964241901225,-0.20878179275036285,0.05438291388604823,0.017111945770279094,0.10672590935504953,0.05631372611322824,0.005232798411762221,-5.8548299782110064e-6
ocoee,D. ocoee,2,2,0.3386297871918059,0.9274594036597675,0.34747200901157527,-1.1628237871097755,-0.2877346997741069,-0.748545526683738,-0.5768468632510196,-0.37405920908257767,-6.456620594951711e-4,-0.14466923197391515,0.36380200155087045,-0.30835347065952,-0.00943304105263096,-0.6447873455597659,-0.03554112259829717,-0.34665733946645116,0.13733293563364846,0.7458088848314751,-0.43633334750122327,0.026670207914901253,-0.35803642569445754,-0.4464079262711924,-0.02853870515181249,0.1837397509305702,0.054626186859618786,-0.07195291782647355,0.0053529950802948326,1.2796386300198713e-6
orestes,D. orestes,1,2,-10.955262454670915,-8.581078234469372,1.5709770150092912,-0.7327142460954181,-0.005868000575268255,0.36563443563832865,0.08516755841550364,0.04193096598188456,0.554054687969972,-0.10497411588604379,0.04800844276698748,0.22071750687195876,0.007579585466751646,-0.2308190225462766,0.08690480616876256,-0.13819445862909122,0.05657460996805502,-0.04542559862279572,-0.026220056617936815,0.041434699546410894,-0.04672200402003388,0.004347446765567665,-0.02797588464923748,-0.019121947878334617,0.00566917919897609,0.002719500567047155,3.0397123043865282e-5,4.442800211212634e-8
organi,D. organi,2,2,3.6028867056648335,-2.381183484061272,4.86146718066773,0.8984666294935604,-1.2378828120323235,-0.7285282085411378,-0.06532087378032046,-0.9359614585018982,-0.7130751252375307,0.05229657018180458,1.3461841614313867,0.8268904980876651,0.2369365411720617,0.6548857741576065,-0.6642122280360253,0.06358319967793886,0.14077625226885215,0.1714072714551661,-0.23385196456805346,-0.15521482949778684,0.14515900900776604,-0.02686877677872196,0.034642266645506424,-0.03916980047840097,0.006662728068619005,-0.008048993429486081,-0.005296898342271419,-3.714369238926208e-6
pascagoula,D. pascagoula,2,2,-2.4336884453211645,2.48627559114703,0.28032581212597785,1.348307061217419,-1.9747473035298164,0.2609137828282597,-0.2528865650285932,-0.8701905949279565,0.28695115033705465,-0.14058662575565017,0.12657688142887527,0.4973326838896228,0.20227047074031973,-0.5596614630125875,1.0564819444648916,0.33467576862860715,-0.424478837133631,0.06493200580176722,0.4162043471863597,-0.1286102839777363,0.2586469263235278,-0.011132775458333586,0.041228360640764954,0.20165204513203314,-0.0010443509670833779,-0.06131430315585708,-0.0018685255358065066,2.3863552875124776e-6
perlapsus,D. perlapsus,2,2,0.29654905073211246,0.9942231385530352,1.248313733521614,-0.4755542198168535,0.5029998859618608,-0.6408348789699535,-0.19577096936886615,0.5129667113456664,-0.6544595990104264,0.3201983202706397,-0.14695624273983568,0.3975603892619426,-0.7130343141330133,0.028575532168125844,0.022695673981103174,-0.2646039153826591,0.31810451079137,-0.6017902607502227,0.046490182982737924,-0.048577573026542316,-0.08883714736650986,-0.25744498074153677,-0.33294452206795067,-0.04883875949024734,-0.2515173997128846,-0.10644658675002629,0.001306907059671959,1.4315328678275475e-6
santeetlah,D. santeetlah,2,2,-0.02385958081551324,0.3472931333878654,-0.3925947258456632,-1.3907676930526174,0.6359840461343089,0.6855056107158298,0.478030597223736,-0.8175898195022329,0.21218801419209365,-1.3079609559965863,-1.756627891386841,0.6184822970466497,-0.2612924596191538,0.4854629240843853,-0.37601381906435477,0.6003479699174604,0.298194144340805,0.11197066786411992,0.07500318381127605,-0.0013627499665072394,0.1617850457535985,-0.3338668499977204,0.09819304581413135,-0.05046085709253564,-0.09412820854892327,0.04818245788286483,0.002627236931178271,-6.747262839597926e-7
tilleyi,D. tilleyi,2,2,1.3758382848890816,0.007093708308250276,0.4926594859150498,-1.7583613484071718,0.06640858348591798,-0.40058269352494036,0.13815895702153677,0.3658464528400366,-0.7889491379299818,-0.7928476011783194,0.3744371985079586,0.6609602127492707,-1.0331171860339328,-0.7234946905937786,0.20493850993559987,-0.08879171502386818,0.16872533306770532,-0.18354321591440106,-0.16280080591861357,0.03646673289890644,0.22576337033734747,0.2620914121103266,0.28032659290126904,0.026685007400176135,-0.09444427065792393,-0.11117646469723748,-0.001463639526710509,3.411027022084208e-6
valentinei,D. valentinei,2,2,-2.2820652064390212,2.987434794915542,-0.12804677210748228,1.50806546877704,-1.8693088115672158,-0.44058582487173786,-0.16477359241079187,-1.4989528562982535,0.14283055395766409,-1.3713289366541663,-0.08285731171661088,0.37277769298815616,0.5416963796188237,-0.4782329896618616,0.3159888054885049,0.4053789711248492,0.07125704610924578,-0.1776987438112409,-0.30863052699202775,-1.0673283116765485e-4,0.05855552787421236,-0.08974400267632023,-0.090987363464667,-0.2682943421427528,0.02088723786923084,-0.0011102241142978329,-0.0033103353040507054,-3.6939770065028144e-6
valtos,D. valtos,2,2,-3.655219599622822,2.6252243390975947,-0.18965006556098057,2.407067777975974,0.2636357116759092,0.15484836356124568,-0.5412634215390493,0.3973544102244939,0.13788261457638304,1.1817816621919177,-0.14420449661754334,0.7704602220176678,-0.37339211673535694,0.3171054618994477,-0.21039177110821133,0.9606691919758977,0.11392985510881327,0.6528306355882544,-0.1752631655640857,-0.1416952711812024,-0.2717111245394302,0.25329079865093757,0.02170816019575913,0.07208506327826565,-0.1419126934584151,0.04606489549893621,0.0030899214920543537,3.1836735267059507e-7
