species,estimator,estimator_label,metric,metric_label,estimate,n_pairs,n_images,n_specimens,estimand
fuscus,composite_selected50,Frozen composite top 50,cell_area_um2,Cell area (um2),260.5968,50,4,4,median among frozen composite top 50
fuscus,composite_selected50,Frozen composite top 50,nuc_area_um2,Nucleus area (um2),46.7784,50,4,4,median among frozen composite top 50
fuscus,composite_selected50,Frozen composite top 50,nc_area_ratio,Nucleus/cell area ratio,0.176701,50,4,4,median among frozen composite top 50
fuscus,image_balanced_selected50,Equal-image frozen top 50,cell_area_um2,Cell area (um2),259.5636,50,4,4,equal-image median of within-image medians among frozen composite top-50 rows
fuscus,image_balanced_selected50,Equal-image frozen top 50,nuc_area_um2,Nucleus area (um2),43.164,50,4,4,equal-image median of within-image medians among frozen composite top-50 rows
fuscus,image_balanced_selected50,Equal-image frozen top 50,nc_area_ratio,Nucleus/cell area ratio,0.173393,50,4,4,equal-image median of within-image medians among frozen composite top-50 rows
fuscus,literal_largest50_eligible,Literal largest 50,cell_area_um2,Cell area (um2),269.244,50,3,3,median among literal largest 50
fuscus,literal_largest50_eligible,Literal largest 50,nuc_area_um2,Nucleus area (um2),46.5912,50,3,3,median among literal largest 50
fuscus,literal_largest50_eligible,Literal largest 50,nc_area_ratio,Nucleus/cell area ratio,0.17447,50,3,3,median among literal largest 50
fuscus,literal_largest100_eligible,Literal largest 100,cell_area_um2,Cell area (um2),262.3032,100,3,3,median among literal largest 100
fuscus,literal_largest100_eligible,Literal largest 100,nuc_area_um2,Nucleus area (um2),46.5912,100,3,3,median among literal largest 100
fuscus,literal_largest100_eligible,Literal largest 100,nc_area_ratio,Nucleus/cell area ratio,0.1769085,100,3,3,median among literal largest 100
fuscus,eligible_candidate_pool,All eligible candidates,cell_area_um2,Cell area (um2),225.792,689,6,4,median among all eligible candidates
fuscus,eligible_candidate_pool,All eligible candidates,nuc_area_um2,Nucleus area (um2),44.352,689,6,4,median among all eligible candidates
fuscus,eligible_candidate_pool,All eligible candidates,nc_area_ratio,Nucleus/cell area ratio,0.194817,689,6,4,median among all eligible candidates
fuscus,manual_keep_pool,Manual keeps,cell_area_um2,Cell area (um2),267.876,52,4,4,median among manual keeps
fuscus,manual_keep_pool,Manual keeps,nuc_area_um2,Nucleus area (um2),46.1808,52,4,4,median among manual keeps
fuscus,manual_keep_pool,Manual keeps,nc_area_ratio,Nucleus/cell area ratio,0.1762165,52,4,4,median among manual keeps
gvnigeusgwotli,composite_selected50,Frozen composite top 50,cell_area_um2,Cell area (um2),252.6768,50,1,1,median among frozen composite top 50
