species,Academ,CACTA,CR1,Chapaev,Copia,Cyrypton,DIRS,Dada,EnSpm,Ginger,Gypsy,Helitron,IS3EU,Jockey,Kolobok,L1,L2,MITE,MULE,Maverick,Merlin,Mutator,P,PIF-Harbinger,Penelope,PiggyBac,Tc1-mariner,hAT,tRNA
marmoratus,4.5731364009476375e-4,0.009913983997208591,1.1154798730362847e-6,1.0688742071080562e-5,0.009926799281960002,0.0018768496416741202,0.0731448752838874,0,3.074878845451641e-4,0,0.5393073943701492,0.0032452785830887378,3.735711533706105e-5,0.0013559103539353716,1.5788879043095318e-4,0.05043216173370184,0.09689307759447865,0.0026119075831241147,1.4592921626707558e-4,0.006357392299507793,0,0.022722908221262644,1.2558953588807036e-4,0.05002405272576917,7.657973069010174e-5,8.227300753067848e-4,0.015462328677158198,0.1133820807036394,0.0012003187389507167
mavrokoilius,3.852670109239595e-4,0.009685210025640236,1.051746030349847e-6,1.5493463027734302e-6,0.008999046894427693,0.0016334872417677626,0.08193397749112707,0,3.4475908167618403e-4,0,0.5551846304344138,0.0029447695111768433,2.140183797959211e-5,0.001013724845897845,8.126340206541811e-5,0.03962121687141368,0.09992279405066098,0.002428879915609004,1.0495973019007451e-4,0.0061652623490628215,0,0.023416616456369818,7.275896104581504e-5,0.04776306813291205,9.413943739755058e-5,6.037901810649274e-4,0.013225262763729715,0.10340108278321906,9.500294978949372e-4
monticola,4.095188781480598e-4,0.009562461512780129,0,0,0.008027306298403083,0.0018919576014865594,0.07271737529867116,0,4.2314235594179865e-4,0,0.5557825983162302,0.0021445929388463486,3.1242954095590554e-5,9.727986640102104e-4,1.6500085231771063e-4,0.055913499555038854,0.09932497496100941,0.0026097808714106298,2.031092515301196e-4,0.0028620504949869565,0,0.022441074954850582,1.0445604036183036e-4,0.04944240514539141,7.516313353819886e-5,5.520002009533304e-4,0.012734740872424604,0.10105665913625331,5.520897113199121e-4
ocoee,4.82154827121805e-4,0.00968614857277452,4.369506517820701e-7,0,0.007463535822465286,0.0018363144615459858,0.07598313577090042,1.933017510271725e-6,3.6098254189626975e-4,0,0.550584256107676,0.002018114627954011,1.4851104839375075e-5,8.679913829574997e-4,1.2907261387581586e-4,0.06465607445939624,0.0945549393223847,0.002175337298447023,1.6047827893136415e-4,0.004602809470605642,2.6217039106924204e-7,0.025506224742899083,6.361349324795027e-5,0.04836761588582798,6.467521811526551e-5,4.7316538266782885e-4,0.012736518029159103,0.09637111361970929,8.382448260484195e-4
orestes,0,0.009937857011636884,8.114932345438026e-4,0,0.008853806631690797,0,0.07840450469240953,9.920366312150869e-7,0,0,0.5802256188763918,0.0020489005278265,1.3098062259778847e-5,2.7924144237894648e-5,0,0.057543397593073004,0.10108761051668552,0.0028488555838521194,1.3938545231751994e-5,0.0031984518281151742,0,0.024326069254871654,1.1299929206954896e-4,0.01915754232882294,0.011726683827736529,3.616233995878045e-4,0,0.09617419358681575,0.0031244390255100183
organi,5.2707330323735e-4,0.01101298363643062,2.021517497469005e-7,0,0.011704623694573231,0.0020297572581727294,0.08388089550101478,0,1.614790946180292e-4,0,0.48948382090378467,0.0023904790557827396,2.2215923456774096e-5,9.541341051889596e-4,8.84856977470902e-5,0.09101936393334092,0.10284058903408838,0.001554384957233662,6.430225623284798e-5,0.004212691543213609,0,0.01798419364945761,5.170654070238528e-5,0.05216767099717437,8.458527665779554e-5,5.262190044045156e-4,0.015904731983665606,0.1109323954260137,4.0101507205784966e-4
pascagoula,2.1270268775778244e-4,0.008156404918422781,0,0,0.0062450324163251325,0.0013310982245687759,0.06575638734899866,0,3.400970122227483e-4,0,0.5734138635153644,0.001435813140539397,2.440171651570184e-5,7.268504546497303e-4,1.3609645044445893e-4,0.06646048663231982,0.08145111095331915,0.0017973554757958318,1.7254844091013348e-4,0.006018439502605491,0,0.02287313520643013,6.351246116735104e-5,0.05089699019367575,5.1772767352377134e-5,4.769781480840413e-4,0.009300303319500835,0.10200490782729223,6.537111857373216e-4
perlapsus,3.773578228554289e-4,0.009660110706427246,0,0,0.007445718882275843,0.0018745506431088787,0.08117022260181778,0,4.0125358343050645e-4,0,0.5480108486623572,0.0018933607396733672,1.7432864060730404e-5,0.0010997033271621624,2.2873191328865976e-4,0.06510003302419741,0.09885217805896804,0.0023086714142606553,1.2849165054800904e-4,0.004748260168648307,0,0.022902577897975774,6.620423953921726e-5,0.046671120503692966,5.213032129357412e-5,4.061140233286385e-4,0.01256255442778522,0.09343454147296676,5.878310503376836e-4
santeetlah,3.8444720504082275e-4,0.009342644486737037,0,0,0.007500914568774057,0.0018208794348567167,0.07524825172478083,0,3.406292253753235e-4,0,0.550230378198724,0.0020892511850629557,1.2184678837465048e-5,9.186781910865264e-4,1.6354098231125414e-4,0.06061471520529106,0.100976346016793,0.0021731583292717285,1.6669686289054423e-4,0.004217139558711674,0,0.025821574725463176,1.3583018369679243e-4,0.04946476427909862,7.600525266388964e-5,4.228581996108174e-4,0.012019195566419586,0.0951201937841787,7.39722154323384e-4
tilleyi,4.1001777349245595e-4,0.010503847123856137,0,2.316432721521478e-6,0.008293298725671071,0.00204216630028335,0.07870735357181452,0,3.836332637566663e-4,0,0.5345388762771851,0.0021121616566358702,1.2335069826267257e-5,0.0010210470788507113,1.627812101775407e-4,0.06209348228945392,0.10360777628091102,0.002710112167732353,1.5398637359894418e-4,0.002530406307834658,0,0.025822755125571074,6.865481601197942e-5,0.05058841155657738,9.601652981205757e-5,4.119931685539573e-4,0.013176126409942488,0.09977882055026725,7.716239394617439e-4
