panel,species,n_selected_pairs,n_selected_images,n_selected_specimens,effective_n,weighted_median_nuc_iod,nuc_iod_q1,nuc_iod_q3,estimated_genome_pg,estimated_genome_pg_q1,estimated_genome_pg_q3,reference_species,reference_genome_pg,reference_weighted_median_nuc_iod,reference_scale_pg_per_iod,iod_ratio_to_reference,median_clarity_signal,median_shape_signal,support_label,support_warnings
current_top50_primary,D. apalachicolae,19,1,1,19.000000,845.555375,793.230474,891.738877,12.687106,11.901999,13.380065,D. fuscus,16.360000,1090.342087,0.015004,0.775495,0.536517,0.595318,low,low_pair_count; low_image_count; low_specimen_count; size_darkness_selected_top50
current_top50_primary,D. auriculatus,48,1,1,48.000000,968.242568,901.355093,1014.027901,14.527962,13.524351,15.214946,D. fuscus,16.360000,1090.342087,0.015004,0.888017,0.421262,0.650828,low,low_image_count; low_specimen_count; size_darkness_selected_top50
current_top50_primary,D. bairdi,50,1,1,50.000000,1085.385052,1042.840659,1154.826546,16.285622,15.647266,17.327555,D. fuscus,16.360000,1090.342087,0.015004,0.995454,0.447476,0.597838,low,low_image_count; low_specimen_count; size_darkness_selected_top50
current_top50_primary,D. brimleyorum,35,1,1,35.000000,1005.060083,934.601885,1104.044624,15.080389,14.023202,16.565599,D. fuscus,16.360000,1090.342087,0.015004,0.921784,0.444603,0.590646,low,low_image_count; low_specimen_count; size_darkness_selected_top50
current_top50_primary,D. campi,50,2,2,49.280000,852.691081,785.138189,894.887360,12.794174,11.780579,13.427306,D. fuscus,16.360000,1090.342087,0.015004,0.782040,0.487774,0.608121,medium,size_darkness_selected_top50
current_top50_primary,D. folkertsi,50,2,2,47.120000,919.338162,855.407620,971.758017,13.794178,12.834934,14.580709,D. fuscus,16.360000,1090.342087,0.015004,0.843165,0.508333,0.617722,medium,size_darkness_selected_top50
current_top50_primary,D. fuscus,23,1,1,23.000000,1090.342087,1033.224660,1132.149589,16.360000,15.502984,16.987299,D. fuscus,16.360000,1090.342087,0.015004,1.000000,0.459198,0.674006,low,low_pair_count; low_image_count; low_specimen_count; size_darkness_selected_top50
current_top50_primary,D. gvnigeusgwotli,50,1,1,50.000000,913.688262,836.210315,968.359210,13.709404,12.546889,14.529712,D. fuscus,16.360000,1090.342087,0.015004,0.837983,0.476378,0.573578,low,low_image_count; low_specimen_count; size_darkness_selected_top50
current_top50_primary,D. intermedius,50,2,2,49.680000,1085.363392,1002.940044,1158.937238,16.285297,15.048579,17.389234,D. fuscus,16.360000,1090.342087,0.015004,0.995434,0.443048,0.646761,medium,size_darkness_selected_top50
current_top50_primary,D. kanawha,45,1,1,45.000000,883.103816,851.564387,969.933443,13.250501,12.777268,14.553333,D. fuscus,16.360000,1090.342087,0.015004,0.809933,0.453939,0.627741,low,low_image_count; low_specimen_count; size_darkness_selected_top50
current_top50_primary,D. marmoratus,20,1,1,20.000000,1060.902716,1016.845561,1117.166213,15.918278,15.257224,16.762482,D. fuscus,16.360000,1090.342087,0.015004,0.973000,0.460543,0.648359,low,low_pair_count; low_image_count; low_specimen_count; size_darkness_selected_top50
current_top50_primary,D. mavrokoilius,50,2,2,46.080000,856.321447,778.853794,954.376772,12.848645,11.686285,14.319913,D. fuscus,16.360000,1090.342087,0.015004,0.785370,0.467166,0.526099,medium,size_darkness_selected_top50
current_top50_primary,D. monticola,40,1,1,40.000000,939.893565,868.071968,954.761272,14.102600,13.024956,14.325682,D. fuscus,16.360000,1090.342087,0.015004,0.862017,0.487680,0.663959,low,low_image_count; low_specimen_count; size_darkness_selected_top50
current_top50_primary,D. ochrophaeus,50,2,2,21.120000,736.971533,694.009408,800.895713,11.057864,10.413240,12.017012,D. fuscus,16.360000,1090.342087,0.015004,0.675909,0.532237,0.564693,limited,size_darkness_selected_top50
current_top50_primary,D. ocoee,12,1,1,12.000000,1019.010289,957.154624,1038.677904,15.289705,14.361593,15.584807,D. fuscus,16.360000,1090.342087,0.015004,0.934579,0.396016,0.618055,low,low_pair_count; low_image_count; low_specimen_count; size_darkness_selected_top50
current_top50_primary,D. perlapsus,21,1,1,21.000000,714.843375,695.243312,772.997308,10.725843,10.431754,11.598411,D. fuscus,16.360000,1090.342087,0.015004,0.655614,0.442788,0.621981,low,low_pair_count; low_image_count; low_specimen_count; size_darkness_selected_top50
current_top50_primary,D. tilleyi,50,2,2,42.000000,935.285325,896.001902,996.464868,14.033456,13.444029,14.951423,D. fuscus,16.360000,1090.342087,0.015004,0.857791,0.503856,0.581937,medium,size_darkness_selected_top50
current_top50_primary,D. valtos,25,1,1,25.000000,1317.613462,1268.532366,1367.936008,19.770085,19.033650,20.525148,D. fuscus,16.360000,1090.342087,0.015004,1.208440,0.378305,0.583333,low,low_image_count; low_specimen_count; size_darkness_selected_top50
current_top50_primary,D. welteri,33,1,1,33.000000,782.534812,729.912547,834.085273,11.741516,10.951947,12.515004,D. fuscus,16.360000,1090.342087,0.015004,0.717697,0.428458,0.572893,low,low_image_count; low_specimen_count; size_darkness_selected_top50
